player_name,season_label,season_year,gleague_teams,nba_teams,callup_dates,contract_type,times_called_up
Kyle Guy,2021-22,2021,['Cleveland Charge'],['Miami Heat'],['12-30-2021'],['10-Day'],1
Kylor Kelley,2024-25,2024,['South Bay Lakers'],"['Dallas Mavericks', 'New Orleans Pelicans']","['01-26-2025', '04-03-2025']","['Two-Way', '10-Day']",2
Lamar Stevens,2024-25,2024,['Motor City Cruise'],['Memphis Grizzlies'],['02-21-2025'],['10-Day'],1
Lance Stephenson,2021-22,2021,['Grand Rapids Gold'],['Atlanta Hawks'],['12-22-2021'],['10-Day'],1
Landry Shamet,2024-25,2024,['Westchester Knicks'],['New York Knicks'],['12-23-2024'],['Standard'],1
Langston Galloway,2021-22,2021,['College Park Skyhawks'],['Brooklyn Nets'],['12-16-2021'],['10-Day'],1
Lester Quinones,2022-23,2022,['Santa Cruz Warriors'],['Golden State Warriors'],"['03-02-2023', '03-17-2023']","['10-Day', 'Two-Way']",2
Lester Quinones,2024-25,2024,['Birmingham Squadron'],['New Orleans Pelicans'],['03-02-2025'],['Two-Way'],1
Levi Randolph,2019-20,2019,['Canton Charge'],['Cleveland Cavaliers'],['01-06-2020'],['Two-Way'],1
Lindell Wigginton,2021-22,2021,['Wisconsin Herd'],['Milwaukee Bucks'],['01-13-2022'],['Two-Way'],1
Lindell Wigginton,2022-23,2022,['Wisconsin Herd'],['Milwaukee Bucks'],['03-07-2023'],['Two-Way'],1
Lindy Waters III,2021-22,2021,['Oklahoma City Blue'],['Oklahoma City Thunder'],['02-10-2022'],['Two-Way'],1
Louis King,2020-21,2021,['Westchester Knicks'],['Sacramento Kings'],['04-30-2021'],['Two-Way'],1
Louis King,2022-23,2022,['Rio Grande Valley Vipers'],['Philadelphia 76ers'],['12-26-2022'],['Two-Way'],1
Luka Samanic,2022-23,2022,['Maine Celtics'],['Utah Jazz'],['03-28-2023'],['10-Day'],1
Luke Kornet,2021-22,2021,['Maine Celtics'],"['Cleveland Cavaliers', 'Boston Celtics']","['12-21-2021', '02-11-2022']","['10-Day', 'Standard']",2
M.J. Walker,2021-22,2021,['Westchester Knicks'],['Phoenix Suns'],['12-30-2021'],['10-Day'],1
Mac McClung,2021-22,2021,['South Bay Lakers'],"['Chicago Bulls', 'Los Angeles Lakers']","['12-22-2021', '04-09-2022']","['10-Day', 'Two-Way']",2
Mac McClung,2022-23,2022,['Delaware Blue Coats'],['Philadelphia 76ers'],['02-14-2023'],['Two-Way'],1
Malachi Flynn,2024-25,2024,['Austin Spurs'],['Charlotte Hornets'],['03-01-2025'],['10-Day'],1
Malcolm Hill,2021-22,2021,['Birmingham Squadron'],"['Atlanta Hawks', 'Chicago Bulls']","['12-22-2021', '01-14-2022']","['10-Day', '10-Day']",2
Malcolm Hill,2023-24,2023,['Birmingham Squadron'],['New Orleans Pelicans'],"['01-27-2024', '02-22-2024']","['10-Day', 'Two-Way']",2
Malevy Leons,2024-25,2024,['Oklahoma City Blue'],['Oklahoma City Thunder'],['10-31-2024'],['Standard'],1
Malik Ellison,2021-22,2021,['College Park Skyhawks'],['Atlanta Hawks'],['12-25-2021'],['10-Day'],1
Malik Fitts,2020-21,2021,['Agua Caliente Clippers'],['Los Angeles Clippers'],['04-09-2021'],['10-Day'],1
Malik Fitts,2021-22,2021,['Agua Caliente Clippers'],['Boston Celtics'],['02-23-2022'],['10-Day'],1
Malik Newman,2019-20,2019,['Canton Charge'],['Cleveland Cavaliers'],['02-09-2020'],['10-Day'],1
Malik Newman,2021-22,2021,['Cleveland Charge'],['Cleveland Cavaliers'],['12-28-2021'],['10-Day'],1
Malik Williams,2023-24,2023,['Sioux Falls Skyforce'],['Toronto Raptors'],['04-03-2024'],['10-Day'],1
Mamadi Diakite,2023-24,2023,['Westchester Knicks'],"['San Antonio Spurs', 'New York Knicks']","['01-02-2024', '03-14-2024']","['Two-Way', '10-Day']",2
Maozinha Pereira,2023-24,2023,['Mexico City Capitanes'],['Memphis Grizzlies'],['03-20-2024'],['10-Day'],1
Marcus Bagley,2024-25,2024,['Delaware Blue Coats'],['Philadelphia 76ers'],['03-24-2025'],['10-Day'],1
Marcus Garrett,2024-25,2024,['Greensboro Swarm'],['Charlotte Hornets'],['03-12-2025'],['10-Day'],1
Marques Bolden,2019-20,2019,['Canton Charge'],['Cleveland Cavaliers'],['01-30-2020'],['10-Day'],1
Marques Bolden,2023-24,2023,['Wisconsin Herd'],['Charlotte Hornets'],['02-20-2024'],['10-Day'],1
Mason Jones,2021-22,2021,['South Bay Lakers'],['Los Angeles Lakers'],['12-21-2021'],['Two-Way'],1
Mason Jones,2023-24,2023,['Stockton Kings'],['Sacramento Kings'],['02-09-2024'],['Two-Way'],1
Matt Hurt,2023-24,2023,['Memphis Hustle'],['Memphis Grizzlies'],"['01-29-2024', '02-26-2024']","['10-Day', '10-Day']",2
Matt Mooney,2019-20,2019,['Memphis Hustle'],['Cleveland Cavaliers'],['01-15-2020'],['Two-Way'],1
Matt Mooney,2021-22,2021,['Mexico City Capitanes'],['New York Knicks'],['12-21-2021'],['10-Day'],1
Matt Ryan,2021-22,2021,['Grand Rapids Gold'],['Boston Celtics'],['02-28-2022'],['Two-Way'],1
Matt Ryan,2024-25,2024,['Westchester Knicks'],['New York Knicks'],['11-05-2024'],['Standard'],1
Melvin Frazier Jr.,2021-22,2021,['Iowa Wolves'],['Oklahoma City Thunder'],['04-06-2022'],['Two-Way'],1
Micah Potter,2021-22,2021,['Sioux Falls Skyforce'],['Detroit Pistons'],['12-29-2021'],['10-Day'],1
Miles Norris,2024-25,2024,['Memphis Hustle'],['Boston Celtics'],['03-04-2025'],['Two-Way'],1
Mo Bamba,2024-25,2024,['Birmingham Squadron'],['New Orleans Pelicans'],['03-10-2025'],['10-Day'],1
Moses Brown,2024-25,2024,['Westchester Knicks'],"['New York Knicks', 'Dallas Mavericks']","['11-20-2024', '02-20-2025']","['Standard', '10-Day']",2
Moses Wright,2021-22,2021,['Agua Caliente Clippers'],"['Los Angeles Clippers', 'Dallas Mavericks']","['12-21-2021', '02-25-2022']","['10-Day', 'Two-Way']",2
Mouhamadou Gueye,2023-24,2023,['Raptors 905'],['Toronto Raptors'],"['02-10-2024', '03-04-2024']","['10-Day', 'Two-Way']",2
Mychal Mulder,2019-20,2019,['Sioux Falls Skyforce'],['Golden State Warriors'],['02-26-2020'],['10-Day'],1
Mychal Mulder,2021-22,2021,['Sioux Falls Skyforce'],['Miami Heat'],['03-25-2022'],['Two-Way'],1
Myles Powell,2020-21,2021,['Westchester Knicks'],['New York Knicks'],['04-23-2021'],['Two-Way'],1
Myles Powell,2021-22,2021,['Westchester Knicks'],['Philadelphia 76ers'],['12-19-2021'],['Two-Way'],1
Nae'Qwan Tomlin,2024-25,2024,['Cleveland Charge'],['Cleveland Cavaliers'],['02-20-2025'],['10-Day'],1
Nate Darling,2022-23,2022,['Ontario Clippers'],['LA Clippers'],['02-17-2023'],['Two-Way'],1
Nate Hinton,2021-22,2021,['Fort Wayne Mad Ants'],['Indiana Pacers'],"['12-30-2021', '04-07-2022']","['10-Day', 'Two-Way']",2
Nathan Mensah,2023-24,2023,['Greensboro Swarm'],['Charlotte Hornets'],['12-15-2023'],['Two-Way'],1
Nik Stauskas,2021-22,2021,['Grand Rapids Gold'],"['Miami Heat', 'Boston Celtics']","['12-31-2021', '03-04-2022']","['10-Day', 'Standard']",2
Norvel Pelle,2020-21,2021,['Canton Charge'],"['Brooklyn Nets', 'Sacramento Kings', 'New York Knicks']","['01-28-2021', '02-25-2021', '04-02-2021']","['Standard', '10-Day', '10-Day']",3
Norvel Pelle,2021-22,2021,['Cleveland Charge'],"['Boston Celtics', 'Utah Jazz']","['12-25-2021', '01-07-2022']","['10-Day', '10-Day']",2
Olivier Sarr,2021-22,2021,['Oklahoma City Blue'],['Oklahoma City Thunder'],"['12-27-2021', '01-09-2022', '02-22-2022']","['10-Day', '10-Day', 'Two-Way']",3
Olivier Sarr,2022-23,2022,['Oklahoma City Blue'],['Oklahoma City Thunder'],['02-12-2023'],['Two-Way'],1
Omer Yurtseven,2020-21,2021,['Oklahoma City Blue'],['Miami Heat'],['05-14-2021'],['Standard'],1
Orlando Robinson,2022-23,2022,['Sioux Falls Skyforce'],['Miami Heat'],"['11-14-2022', '12-11-2022']","['Two-Way', 'Two-Way']",2
Oshae Brissett,2020-21,2021,['Fort Wayne Mad Ants'],['Indiana Pacers'],['04-01-2021'],['10-Day'],1
Oshae Brissett,2024-25,2024,['Long Island Nets'],['Philadelphia 76ers'],['03-14-2025'],['10-Day'],1
PJ Dozier,2022-23,2022,['Iowa Wolves'],['Sacramento Kings'],"['01-09-2023', '02-26-2023']","['10-Day', 'Standard']",2
Paris Bass,2021-22,2021,['South Bay Lakers'],['Phoenix Suns'],['12-31-2021'],['10-Day'],1
Pat Spencer,2023-24,2023,['Santa Cruz Warriors'],['Golden State Warriors'],['02-22-2024'],['Two-Way'],1
Patrick Baldwin Jr.,2024-25,2024,['San Diego Clippers'],['LA Clippers'],['03-01-2025'],['Two-Way'],1
Paul Watson,2019-20,2019,['Raptors 905'],"['Atlanta Hawks', 'Toronto Raptors']","['01-06-2020', '01-15-2020']","['10-Day', 'Two-Way']",2
Pete Nance,2023-24,2023,['Cleveland Charge'],['Cleveland Cavaliers'],"['01-18-2024', '02-19-2024']","['10-Day', 'Two-Way']",2
Pete Nance,2024-25,2024,['Cleveland Charge'],"['Philadelphia 76ers', 'Milwaukee Bucks']","['12-03-2024', '01-14-2025', '02-28-2025']","['Two-Way', 'Two-Way', 'Two-Way']",3
Phillip Wheeler,2024-25,2024,['Maine Celtics'],['Philadelphia 76ers'],['03-26-2025'],['10-Day'],1
Quenton Jackson,2022-23,2022,['Capital City Go-Go'],['Washington Wizards'],['02-10-2023'],['Two-Way'],1
Quenton Jackson,2023-24,2023,['Windy City Bulls'],['Indiana Pacers'],['03-04-2024'],['Two-Way'],1
Quinndary Weatherspoon,2021-22,2021,['Santa Cruz Warriors'],['Golden State Warriors'],['12-23-2021'],['10-Day'],1
R.J. Hampton,2023-24,2023,['Capital City Go-Go'],['Washington Wizards'],['03-03-2024'],['10-Day'],1
RaiQuan Gray,2022-23,2022,['Long Island Nets'],['Brooklyn Nets'],['04-08-2023'],['Two-Way'],1
RaiQuan Gray,2023-24,2023,['Austin Spurs'],['San Antonio Spurs'],['03-02-2024'],['Two-Way'],1
Ray Spalding,2019-20,2019,['Rio Grande Valley Vipers'],['Charlotte Hornets'],['01-15-2020'],['Two-Way'],1
Ray Spalding,2020-21,2021,['Rio Grande Valley Vipers'],['Houston Rockets'],['02-12-2021'],['Two-Way'],1
RayJ Dennis,2024-25,2024,['San Diego Clippers'],['Indiana Pacers'],['01-03-2025'],['Two-Way'],1
Rayjon Tucker,2019-20,2019,['Wisconsin Herd'],['Utah Jazz'],['12-26-2019'],['Standard'],1
Rayjon Tucker,2020-21,2021,['Agua Caliente Clippers'],['Philadelphia 76ers'],['01-22-2021'],['Two-Way'],1
Rayjon Tucker,2021-22,2021,['Wisconsin Herd'],"['Minnesota Timberwolves', 'Milwaukee Bucks']","['12-21-2021', '04-08-2022']","['10-Day', 'Standard']",2
Reggie Perry,2021-22,2021,['Raptors 905'],"['Portland Trail Blazers', 'Indiana Pacers']","['12-28-2021', '02-04-2022', '03-30-2022']","['10-Day', '10-Day', '10-Day']",3
Rob Edwards,2021-22,2021,['Oklahoma City Blue'],['Oklahoma City Thunder'],['12-27-2021'],['10-Day'],1
Robert Franks,2020-21,2021,['Lakeland Magic'],['Orlando Magic'],['04-12-2021'],['10-Day'],1
Robert Woodard II,2021-22,2021,['Oklahoma City Blue'],['San Antonio Spurs'],['03-04-2022'],['Two-Way'],1
Ron Harper Jr.,2024-25,2024,['Maine Celtics'],['Detroit Pistons'],['01-06-2025'],['Two-Way'],1
Ryan Arcidiacono,2021-22,2021,['Maine Celtics'],['New York Knicks'],"['01-06-2022', '02-13-2022']","['10-Day', 'Standard']",2
Saben Lee,2022-23,2022,['Raptors 905'],"['Philadelphia 76ers', 'Phoenix Suns']","['11-23-2022', '01-11-2023']","['Two-Way', '10-Day']",2
Sam Merrill,2022-23,2022,['Cleveland Charge'],['Cleveland Cavaliers'],['03-03-2023'],['10-Day'],1
Scotty Hopson,2021-22,2021,['Oklahoma City Blue'],['Oklahoma City Thunder'],['12-27-2021'],['10-Day'],1
Scotty Pippen Jr.,2023-24,2023,['South Bay Lakers'],['Memphis Grizzlies'],['01-16-2024'],['Two-Way'],1
Shaq Buchanan,2021-22,2021,['Memphis Hustle'],['Memphis Grizzlies'],['12-25-2021'],['10-Day'],1
Shaquille Harrison,2021-22,2021,['Delaware Blue Coats'],"['Brooklyn Nets', 'Memphis Grizzlies']","['12-19-2021', '01-19-2022']","['10-Day', '10-Day']",2
Shaquille Harrison,2022-23,2022,['South Bay Lakers'],['Portland Trail Blazers'],['03-30-2023'],['10-Day'],1
Shaquille Harrison,2023-24,2023,['South Bay Lakers'],['Memphis Grizzlies'],['11-24-2023'],['10-Day'],1
Sharife Cooper,2023-24,2023,['Cleveland Charge'],['Cleveland Cavaliers'],['02-26-2024'],['10-Day'],1
Sheldon Mac,2019-20,2019,['Canton Charge'],['Cleveland Cavaliers'],['03-08-2020'],['10-Day'],1
Sir'Dominic Pointer,2019-20,2019,['Canton Charge'],['Cleveland Cavaliers'],['03-04-2020'],['10-Day'],1
Skal Labissiere,2024-25,2024,['Stockton Kings'],['Sacramento Kings'],['03-03-2025'],['10-Day'],1
Skylar Mays,2022-23,2022,['Mexico City Capitanes'],['Portland Trail Blazers'],['03-30-2023'],['10-Day'],1
Stanley Johnson,2021-22,2021,['South Bay Lakers'],"['Chicago Bulls', 'Los Angeles Lakers']","['12-09-2021', '12-24-2021', '01-06-2022']","['10-Day', '10-Day', '10-Day']",3
Stanley Johnson,2022-23,2022,['Sioux Falls Skyforce'],['San Antonio Spurs'],['12-13-2022'],['Standard'],1
Stanley Umude,2022-23,2022,['Motor City Cruise'],['Detroit Pistons'],['02-10-2023'],['10-Day'],1
Sterling Brown,2022-23,2022,['Raptors 905'],['Los Angeles Lakers'],['01-06-2023'],['10-Day'],1
Taevion Kinsey,2023-24,2023,['Salt Lake City Stars'],['Utah Jazz'],['03-09-2024'],['10-Day'],1
Tariq Owens,2019-20,2019,['Northern Arizona Suns'],['Phoenix Suns'],['01-15-2020'],['Two-Way'],1
Taze Moore,2023-24,2023,['Rip City Remix'],['Portland Trail Blazers'],"['01-20-2024', '04-14-2024']","['10-Day', 'Standard']",2
Terence Davis,2024-25,2024,['Wisconsin Herd'],['Sacramento Kings'],['04-09-2025'],['Standard'],1
Terry Taylor,2021-22,2021,['Fort Wayne Mad Ants'],['Indiana Pacers'],['12-15-2021'],['Two-Way'],1
Terry Taylor,2024-25,2024,['Stockton Kings'],['Sacramento Kings'],['03-18-2025'],['10-Day'],1
Theo Pinson,2021-22,2021,['Maine Celtics'],['Dallas Mavericks'],['12-20-2021'],['10-Day'],1
Timmy Allen,2023-24,2023,['Memphis Hustle'],['Memphis Grizzlies'],['04-07-2024'],['10-Day'],1
Tolu Smith,2024-25,2024,['Motor City Cruise'],['Detroit Pistons'],['01-06-2025'],['Two-Way'],1
Tony Bradley,2024-25,2024,['College Park Skyhawks'],['Indiana Pacers'],['03-02-2025'],['10-Day'],1
Tosan Evbuomwan,2023-24,2023,['Motor City Cruise'],"['Memphis Grizzlies', 'Detroit Pistons']","['01-30-2024', '02-12-2024']","['10-Day', '10-Day']",2
Tosan Evbuomwan,2024-25,2024,['San Diego Clippers'],['Brooklyn Nets'],['01-01-2025'],['Two-Way'],1
Trayvon Palmer,2021-22,2021,['Motor City Cruise'],['Detroit Pistons'],['12-27-2021'],['10-Day'],1
Tremont Waters,2021-22,2021,['Wisconsin Herd'],['Toronto Raptors'],['12-23-2021'],['10-Day'],1
Trevelin Queen,2021-22,2021,['Rio Grande Valley Vipers'],['Houston Rockets'],['12-18-2021'],['Two-Way'],1
Trevon Scott,2021-22,2021,['Cleveland Charge'],['Cleveland Cavaliers'],['12-22-2021'],['10-Day'],1
Trevor Keels,2022-23,2022,['Westchester Knicks'],['New York Knicks'],['03-13-2023'],['Two-Way'],1
Trey Jemison,2023-24,2023,['Birmingham Squadron'],"['Washington Wizards', 'Memphis Grizzlies']","['01-20-2024', '01-30-2024']","['10-Day', '10-Day']",2
Tyler Cook,2019-20,2019,['Canton Charge'],['Cleveland Cavaliers'],['01-09-2020'],['10-Day'],1
Tyler Cook,2020-21,2021,['Iowa Wolves'],"['Brooklyn Nets', 'Detroit Pistons']","['02-24-2021', '03-18-2021']","['10-Day', '10-Day']",2
Tyler Hall,2021-22,2021,['Westchester Knicks'],['New York Knicks'],['12-18-2021'],['10-Day'],1
Tyrone Wallace,2021-22,2021,['Long Island Nets'],['New Orleans Pelicans'],['03-11-2022'],['10-Day'],1
Tyson Etienne,2024-25,2024,['Long Island Nets'],['Brooklyn Nets'],['03-04-2025'],['Two-Way'],1
Vic Law,2019-20,2019,['Lakeland Magic'],['Orlando Magic'],['01-11-2020'],['Two-Way'],1
Vit Krejci,2023-24,2023,['Iowa Wolves'],['Atlanta Hawks'],['12-22-2023'],['Two-Way'],1
Wenyen Gabriel,2021-22,2021,['Wisconsin Herd'],"['Brooklyn Nets', 'New Orleans Pelicans', 'Los Angeles Lakers']","['12-21-2021', '01-28-2022', '03-01-2022']","['10-Day', '10-Day', 'Two-Way']",3
Wenyen Gabriel,2023-24,2023,['Wisconsin Herd'],['Memphis Grizzlies'],['03-08-2024'],['10-Day'],1
William Howard,2019-20,2019,['Salt Lake City Stars'],['Houston Rockets'],['12-27-2019'],['Two-Way'],1
Willie Cauley-Stein,2022-23,2022,['Rio Grande Valley Vipers'],['Houston Rockets'],"['02-27-2023', '04-09-2023']","['10-Day', 'Standard']",2
Xavier Moon,2021-22,2021,['Agua Caliente Clippers'],['Los Angeles Clippers'],"['12-26-2021', '03-26-2022']","['10-Day', 'Two-Way']",2
Xavier Moon,2022-23,2022,['Ontario Clippers'],['LA Clippers'],['03-01-2023'],['Two-Way'],1
Xavier Moon,2023-24,2023,['Ontario Clippers'],['LA Clippers'],['11-16-2023'],['Standard'],1
Xavier Sneed,2021-22,2021,['Greensboro Swarm'],"['Memphis Grizzlies', 'Utah Jazz']","['12-26-2021', '02-16-2022']","['10-Day', 'Two-Way']",2
Xavier Sneed,2022-23,2022,['Greensboro Swarm'],['Charlotte Hornets'],['03-28-2023'],['10-Day'],1
Yogi Ferrell,2020-21,2021,['Salt Lake City Stars'],"['Cleveland Cavaliers', 'Los Angeles Clippers']","['01-11-2021', '04-19-2021']","['10-Day', '10-Day']",2
Yuri Collins,2024-25,2024,['Santa Cruz Warriors'],['Golden State Warriors'],['02-19-2025'],['10-Day'],1
Zach Norvell Jr.,2019-20,2019,['South Bay Lakers'],['Golden State Warriors'],['02-08-2020'],['10-Day'],1
Zavier Simpson,2021-22,2021,['Oklahoma City Blue'],['Oklahoma City Thunder'],['04-05-2022'],['10-Day'],1
Zavier Simpson,2023-24,2023,['Motor City Cruise'],['Memphis Grizzlies'],['03-30-2024'],['10-Day'],1
Zhaire Smith,2023-24,2023,['Cleveland Charge'],['Cleveland Cavaliers'],['02-11-2024'],['10-Day'],1
Zylan Cheatham,2021-22,2021,['Birmingham Squadron'],"['Miami Heat', 'Utah Jazz', 'New Orleans Pelicans']","['12-22-2021', '01-12-2022', '02-04-2022']","['10-Day', '10-Day', '10-Day']",3
Zyon Pullin,2024-25,2024,['Sioux Falls Skyforce'],['Miami Heat'],['01-10-2025'],['Two-Way'],1
