player_name,season_label,season_year,gleague_teams,nba_teams,callup_dates,contract_type,times_called_up
Cheick Diallo,2021-22,2021,['Motor City Cruise'],['Detroit Pistons'],['12-23-2021'],['10-Day'],1
Chris Chiozza,2019-20,2019,['Capital City Go-Go'],['Brooklyn Nets'],['01-04-2020'],['Two-Way'],1
Chris Clemons,2021-22,2021,['Maine Celtics'],['Atlanta Hawks'],['12-28-2021'],['10-Day'],1
Chris Silva,2021-22,2021,['Iowa Wolves'],['Minnesota Timberwolves'],['12-21-2021'],['10-Day'],1
Chris Silva,2022-23,2022,['College Park Skyhawks'],['Dallas Mavericks'],['01-31-2023'],['10-Day'],1
Chuma Okeke,2024-25,2024,['Westchester Knicks'],"['Philadelphia 76ers', 'Cleveland Cavaliers']","['02-07-2025', '03-16-2025', '04-05-2025']","['10-Day', '10-Day', 'Standard']",3
Cole Swider,2024-25,2024,['South Bay Lakers'],['Toronto Raptors'],['03-26-2025'],['10-Day'],1
Colin Castleton,2024-25,2024,"['Long Island Nets', 'Osceola Magic']","['Memphis Grizzlies', 'Toronto Raptors', 'Philadelphia 76ers']","['10-30-2024', '03-06-2025', '04-03-2025']","['Two-Way', '10-Day', '10-Day']",3
Craig Sword,2021-22,2021,['Capital City Go-Go'],['Washington Wizards'],['12-27-2021'],['10-Day'],1
D.J. Stewart,2021-22,2021,['Sioux Falls Skyforce'],['San Antonio Spurs'],['03-04-2022'],['Two-Way'],1
D.J. Wilson,2021-22,2021,['Oklahoma City Blue'],['Toronto Raptors'],"['12-23-2021', '02-28-2022']","['10-Day', '10-Day']",2
D.J. Wilson,2023-24,2023,['Osceola Magic'],['Philadelphia 76ers'],['03-25-2024'],['10-Day'],1
DJ Carton,2023-24,2023,['Iowa Wolves'],['Toronto Raptors'],['02-21-2024'],['10-Day'],1
DaQuan Jeffries,2021-22,2021,['College Park Skyhawks'],['Memphis Grizzlies'],['01-01-2022'],['10-Day'],1
DaQuan Jeffries,2022-23,2022,['Westchester Knicks'],['New York Knicks'],['11-29-2022'],['Two-Way'],1
DaQuan Jeffries,2023-24,2023,['Westchester Knicks'],['New York Knicks'],"['02-22-2024', '03-14-2024']","['10-Day', '10-Day']",2
Daeqwon Plowden,2024-25,2024,['College Park Skyhawks'],['Atlanta Hawks'],['12-27-2024'],['Two-Way'],1
Daishen Nix,2024-25,2024,['Rio Grande Valley Vipers'],['Sacramento Kings'],['02-08-2025'],['10-Day'],1
Dakota Mathias,2021-22,2021,['Texas Legends'],['Memphis Grizzlies'],"['12-30-2021', '01-14-2022']","['10-Day', '10-Day']",2
Damion Baugh,2024-25,2024,['Westchester Knicks'],['Charlotte Hornets'],['02-12-2025'],['Two-Way'],1
Damyean Dotson,2021-22,2021,['Austin Spurs'],['New York Knicks'],['12-21-2021'],['10-Day'],1
Daniel Oturu,2021-22,2021,['Windy City Bulls'],['Toronto Raptors'],['12-24-2021'],['10-Day'],1
Darius Bazley,2023-24,2023,['Delaware Blue Coats'],"['Philadelphia 76ers', 'Utah Jazz']","['02-20-2024', '03-12-2024']","['10-Day', 'Standard']",2
David Duke Jr.,2023-24,2023,['Delaware Blue Coats'],['San Antonio Spurs'],['12-14-2023'],['Two-Way'],1
David Jones Garcia,2024-25,2024,['Mexico City Capitanes'],['Utah Jazz'],['11-22-2024'],['Two-Way'],1
Davon Reed,2021-22,2021,['Grand Rapids Gold'],['Denver Nuggets'],"['12-04-2021', '12-19-2021']","['10-Day', '10-Day']",2
DeJon Jarreau,2021-22,2021,['Texas Legends'],['Houston Rockets'],['12-28-2021'],['10-Day'],1
DeJon Jarreau,2023-24,2023,['Memphis Hustle'],['Memphis Grizzlies'],['03-10-2024'],['10-Day'],1
Deividas Sirvydis,2021-22,2021,['Motor City Cruise'],['Detroit Pistons'],['12-26-2021'],['10-Day'],1
