player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Chris Silva,College Park Skyhawks,Dallas Mavericks,2023-01-31,10-Day,2022-23,2022
Chuma Okeke,Westchester Knicks,Philadelphia 76ers,2025-02-07,10-Day,2024-25,2024
Chuma Okeke,Westchester Knicks,Philadelphia 76ers,2025-03-16,10-Day,2024-25,2024
Chuma Okeke,Westchester Knicks,Cleveland Cavaliers,2025-04-05,Standard,2024-25,2024
Cole Swider,South Bay Lakers,Toronto Raptors,2025-03-26,10-Day,2024-25,2024
Colin Castleton,Long Island Nets,Memphis Grizzlies,2024-10-30,Two-Way,2024-25,2024
Colin Castleton,Osceola Magic,Toronto Raptors,2025-03-06,10-Day,2024-25,2024
Colin Castleton,Osceola Magic,Philadelphia 76ers,2025-04-03,10-Day,2024-25,2024
Craig Sword,Capital City Go-Go,Washington Wizards,2021-12-27,10-Day,2021-22,2021
D.J. Stewart,Sioux Falls Skyforce,San Antonio Spurs,2022-03-04,Two-Way,2021-22,2021
D.J. Wilson,Oklahoma City Blue,Toronto Raptors,2021-12-23,10-Day,2021-22,2021
D.J. Wilson,Oklahoma City Blue,Toronto Raptors,2022-02-28,10-Day,2021-22,2021
D.J. Wilson,Osceola Magic,Philadelphia 76ers,2024-03-25,10-Day,2023-24,2023
DJ Carton,Iowa Wolves,Toronto Raptors,2024-02-21,10-Day,2023-24,2023
DaQuan Jeffries,College Park Skyhawks,Memphis Grizzlies,2022-01-01,10-Day,2021-22,2021
DaQuan Jeffries,Westchester Knicks,New York Knicks,2022-11-29,Two-Way,2022-23,2022
DaQuan Jeffries,Westchester Knicks,New York Knicks,2024-02-22,10-Day,2023-24,2023
DaQuan Jeffries,Westchester Knicks,New York Knicks,2024-03-14,10-Day,2023-24,2023
Daeqwon Plowden,College Park Skyhawks,Atlanta Hawks,2024-12-27,Two-Way,2024-25,2024
Daishen Nix,Rio Grande Valley Vipers,Sacramento Kings,2025-02-08,10-Day,2024-25,2024
Dakota Mathias,Texas Legends,Memphis Grizzlies,2021-12-30,10-Day,2021-22,2021
Dakota Mathias,Texas Legends,Memphis Grizzlies,2022-01-14,10-Day,2021-22,2021
Damion Baugh,Westchester Knicks,Charlotte Hornets,2025-02-12,Two-Way,2024-25,2024
Damyean Dotson,Austin Spurs,New York Knicks,2021-12-21,10-Day,2021-22,2021
Daniel Oturu,Windy City Bulls,Toronto Raptors,2021-12-24,10-Day,2021-22,2021
Darius Bazley,Delaware Blue Coats,Philadelphia 76ers,2024-02-20,10-Day,2023-24,2023
Darius Bazley,Delaware Blue Coats,Utah Jazz,2024-03-12,Standard,2023-24,2023
David Duke Jr.,Delaware Blue Coats,San Antonio Spurs,2023-12-14,Two-Way,2023-24,2023
David Jones Garcia,Mexico City Capitanes,Utah Jazz,2024-11-22,Two-Way,2024-25,2024
Davon Reed,Grand Rapids Gold,Denver Nuggets,2021-12-04,10-Day,2021-22,2021
Davon Reed,Grand Rapids Gold,Denver Nuggets,2021-12-19,10-Day,2021-22,2021
DeJon Jarreau,Texas Legends,Houston Rockets,2021-12-28,10-Day,2021-22,2021
DeJon Jarreau,Memphis Hustle,Memphis Grizzlies,2024-03-10,10-Day,2023-24,2023
Deividas Sirvydis,Motor City Cruise,Detroit Pistons,2021-12-26,10-Day,2021-22,2021
Deonte Burton,Stockton Kings,Sacramento Kings,2023-01-30,10-Day,2022-23,2022
Derrick Walton Jr.,Motor City Cruise,Detroit Pistons,2021-12-25,10-Day,2021-22,2021
Devin Cannady,Lakeland Magic,Orlando Magic,2021-04-06,10-Day,2020-21,2021
Devin Cannady,Lakeland Magic,Orlando Magic,2022-04-01,10-Day,2021-22,2021
Devon Dotson,Capital City Go-Go,Washington Wizards,2022-11-20,Two-Way,2022-23,2022
Devontae Cacock,South Bay Lakers,Los Angeles Lakers,2019-12-11,Two-Way,2019-20,2019
Dmytro Skapintsev,Westchester Knicks,New York Knicks,2023-12-23,Two-Way,2023-24,2023
Donovan Williams,Long Island Nets,Atlanta Hawks,2023-01-17,Two-Way,2022-23,2022
Donta Hall,Grand Rapids Drive,Detroit Pistons,2020-02-22,10-Day,2019-20,2019
Donta Hall,G League Ignite,Toronto Raptors,2021-02-26,10-Day,2020-21,2021
Donta Hall,G League Ignite,Orlando Magic,2021-04-13,10-Day,2020-21,2021
Drew Peterson,Sioux Falls Skyforce,Boston Celtics,2023-12-13,Two-Way,2023-24,2023
Drew Timme,Long Island Nets,Brooklyn Nets,2025-03-28,Standard,2024-25,2024
Dru Smith,Sioux Falls Skyforce,Miami Heat,2022-11-25,Two-Way,2022-23,2022
Dru Smith,Sioux Falls Skyforce,Brooklyn Nets,2023-01-13,Two-Way,2022-23,2022
Dusty Hannahs,Memphis Hustle,Memphis Grizzlies,2020-02-21,10-Day,2019-20,2019
Dylan Windler,Westchester Knicks,Los Angeles Lakers,2024-01-07,Two-Way,2023-24,2023
Elfrid Payton,Birmingham Squadron,New Orleans Pelicans,2024-11-20,Standard,2024-25,2024
Elfrid Payton,Birmingham Squadron,Charlotte Hornets,2025-02-07,10-Day,2024-25,2024
