player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Jared Rhoden,Raptors 905,Toronto Raptors,2025-03-04,Two-Way,2024-25,2024
Tyson Etienne,Long Island Nets,Brooklyn Nets,2025-03-04,Two-Way,2024-25,2024
Braxton Key,San Diego Clippers,Golden State Warriors,2025-03-05,Two-Way,2024-25,2024
Jamaree Bouyea,Austin Spurs,Milwaukee Bucks,2025-03-05,Two-Way,2024-25,2024
Colin Castleton,Osceola Magic,Toronto Raptors,2025-03-06,10-Day,2024-25,2024
Mo Bamba,Birmingham Squadron,New Orleans Pelicans,2025-03-10,10-Day,2024-25,2024
Marcus Garrett,Greensboro Swarm,Charlotte Hornets,2025-03-12,10-Day,2024-25,2024
Oshae Brissett,Long Island Nets,Philadelphia 76ers,2025-03-14,10-Day,2024-25,2024
Chuma Okeke,Westchester Knicks,Philadelphia 76ers,2025-03-16,10-Day,2024-25,2024
Terry Taylor,Stockton Kings,Sacramento Kings,2025-03-18,10-Day,2024-25,2024
Kevin Knox II,Santa Cruz Warriors,Golden State Warriors,2025-03-23,Standard,2024-25,2024
Marcus Bagley,Delaware Blue Coats,Philadelphia 76ers,2025-03-24,10-Day,2024-25,2024
Cole Swider,South Bay Lakers,Toronto Raptors,2025-03-26,10-Day,2024-25,2024
Phillip Wheeler,Maine Celtics,Philadelphia 76ers,2025-03-26,10-Day,2024-25,2024
Drew Timme,Long Island Nets,Brooklyn Nets,2025-03-28,Standard,2024-25,2024
Colin Castleton,Osceola Magic,Philadelphia 76ers,2025-04-03,10-Day,2024-25,2024
Kylor Kelley,South Bay Lakers,New Orleans Pelicans,2025-04-03,10-Day,2024-25,2024
Jaylen Sims,Greensboro Swarm,Charlotte Hornets,2025-04-03,10-Day,2024-25,2024
Chuma Okeke,Westchester Knicks,Cleveland Cavaliers,2025-04-05,Standard,2024-25,2024
Terence Davis,Wisconsin Herd,Sacramento Kings,2025-04-09,Standard,2024-25,2024
Isaiah Mobley,Delaware Blue Coats,Philadelphia 76ers,2025-04-13,10-Day,2024-25,2024
