player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Colin Castleton,Long Island Nets,Memphis Grizzlies,2024-10-30,Two-Way,2024-25,2024
Malevy Leons,Oklahoma City Blue,Oklahoma City Thunder,2024-10-31,Standard,2024-25,2024
Jaylen Nowell,Capital City Go-Go,New Orleans Pelicans,2024-11-03,Standard,2024-25,2024
Matt Ryan,Westchester Knicks,New York Knicks,2024-11-05,Standard,2024-25,2024
Boo Buie III,Westchester Knicks,New York Knicks,2024-11-05,Two-Way,2024-25,2024
Branden Carlson,Raptors 905,Oklahoma City Thunder,2024-11-16,Standard,2024-25,2024
Moses Brown,Westchester Knicks,New York Knicks,2024-11-20,Standard,2024-25,2024
Elfrid Payton,Birmingham Squadron,New Orleans Pelicans,2024-11-20,Standard,2024-25,2024
David Jones Garcia,Mexico City Capitanes,Utah Jazz,2024-11-22,Two-Way,2024-25,2024
Isaiah Wong,Salt Lake City Stars,Charlotte Hornets,2024-12-02,Two-Way,2024-25,2024
Pete Nance,Cleveland Charge,Philadelphia 76ers,2024-12-03,Two-Way,2024-25,2024
AJ Lawson,Long Island Nets,Raptors 905,2024-12-11,Two-Way,2024-25,2024
Javante McCoy,Motor City Cruise,Detroit Pistons,2024-12-15,Standard,2024-25,2024
Landry Shamet,Westchester Knicks,New York Knicks,2024-12-23,Standard,2024-25,2024
Isaiah Stevens,Sioux Falls Skyforce,Miami Heat,2024-12-26,Two-Way,2024-25,2024
Daeqwon Plowden,College Park Skyhawks,Atlanta Hawks,2024-12-27,Two-Way,2024-25,2024
Emanuel Miller,Texas Legends,Chicago Bulls,2024-12-28,Two-Way,2024-25,2024
Tosan Evbuomwan,San Diego Clippers,Brooklyn Nets,2025-01-01,Two-Way,2024-25,2024
Elijah Harkless,San Diego Clippers,Utah Jazz,2025-01-01,Two-Way,2024-25,2024
RayJ Dennis,San Diego Clippers,Indiana Pacers,2025-01-03,Two-Way,2024-25,2024
Ron Harper Jr.,Maine Celtics,Detroit Pistons,2025-01-06,Two-Way,2024-25,2024
Tolu Smith,Motor City Cruise,Detroit Pistons,2025-01-06,Two-Way,2024-25,2024
Eugene Omoruyi,Raptors 905,Toronto Raptors,2025-01-08,10-Day,2024-25,2024
Keion Brooks Jr.,Birmingham Squadron,New Orleans Pelicans,2025-01-09,Two-Way,2024-25,2024
Zyon Pullin,Sioux Falls Skyforce,Miami Heat,2025-01-10,Two-Way,2024-25,2024
Pete Nance,Cleveland Charge,Philadelphia 76ers,2025-01-14,Two-Way,2024-25,2024
Kylor Kelley,South Bay Lakers,Dallas Mavericks,2025-01-26,Two-Way,2024-25,2024
Jackson Rowe,Santa Cruz Warriors,Golden State Warriors,2025-01-28,Two-Way,2024-25,2024
Chuma Okeke,Westchester Knicks,Philadelphia 76ers,2025-02-07,10-Day,2024-25,2024
Elfrid Payton,Birmingham Squadron,Charlotte Hornets,2025-02-07,10-Day,2024-25,2024
Jordan Goodwin,South Bay Lakers,Los Angeles Lakers,2025-02-07,Two-Way,2024-25,2024
Ethan Thompson,Osceola Magic,Orlando Magic,2025-02-08,Two-Way,2024-25,2024
Jaylen Martin,Delaware Blue Coats,Washington Wizards,2025-02-08,Two-Way,2024-25,2024
Daishen Nix,Rio Grande Valley Vipers,Sacramento Kings,2025-02-08,10-Day,2024-25,2024
Jaylen Nowell,Capital City Go-Go,Washington Wizards,2025-02-08,10-Day,2024-25,2024
Jahlil Okafor,Indiana Mad Ants,Indiana Pacers,2025-02-11,10-Day,2024-25,2024
Damion Baugh,Westchester Knicks,Charlotte Hornets,2025-02-12,Two-Way,2024-25,2024
Erik Stevenson,Capital City Go-Go,Washington Wizards,2025-02-17,10-Day,2024-25,2024
Jared Rhoden,Raptors 905,Toronto Raptors,2025-02-19,10-Day,2024-25,2024
Kevin Knox II,Santa Cruz Warriors,Golden State Warriors,2025-02-19,10-Day,2024-25,2024
Yuri Collins,Santa Cruz Warriors,Golden State Warriors,2025-02-19,10-Day,2024-25,2024
Jahmir Young,Grand Rapids Gold,Chicago Bulls,2025-02-19,Two-Way,2024-25,2024
Nae'Qwan Tomlin,Cleveland Charge,Cleveland Cavaliers,2025-02-20,10-Day,2024-25,2024
Killian Hayes,Long Island Nets,Brooklyn Nets,2025-02-20,10-Day,2024-25,2024
Moses Brown,Westchester Knicks,Dallas Mavericks,2025-02-20,10-Day,2024-25,2024
Lamar Stevens,Motor City Cruise,Memphis Grizzlies,2025-02-21,10-Day,2024-25,2024
Alex Reese,Rip City Remix,Philadelphia 76ers,2025-02-21,Two-Way,2024-25,2024
Jalen McDaniels,Capital City Go-Go,Washington Wizards,2025-02-22,10-Day,2024-25,2024
Kendall Brown,Long Island Nets,Brooklyn Nets,2025-02-25,Two-Way,2024-25,2024
Jalen Crutcher,Birmingham Squadron,New Orleans Pelicans,2025-02-26,Two-Way,2024-25,2024
Pete Nance,Cleveland Charge,Milwaukee Bucks,2025-02-28,Two-Way,2024-25,2024
Malachi Flynn,Austin Spurs,Charlotte Hornets,2025-03-01,10-Day,2024-25,2024
Kevon Harris,College Park Skyhawks,Atlanta Hawks,2025-03-01,10-Day,2024-25,2024
Patrick Baldwin Jr.,San Diego Clippers,LA Clippers,2025-03-01,Two-Way,2024-25,2024
Tony Bradley,College Park Skyhawks,Indiana Pacers,2025-03-02,10-Day,2024-25,2024
Lester Quinones,Birmingham Squadron,New Orleans Pelicans,2025-03-02,Two-Way,2024-25,2024
Skal Labissiere,Stockton Kings,Sacramento Kings,2025-03-03,10-Day,2024-25,2024
Miles Norris,Memphis Hustle,Boston Celtics,2025-03-04,Two-Way,2024-25,2024
