player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Jordan Hall,Austin Spurs,San Antonio Spurs,2022-11-02,Standard,2022-23,2022
Orlando Robinson,Sioux Falls Skyforce,Miami Heat,2022-11-14,Two-Way,2022-23,2022
A.J. Lawson,College Park Skyhawks,Minnesota Timberwolves,2022-11-15,Two-Way,2022-23,2022
Ibou Badji,Wisconsin Herd,Portland Trail Blazers,2022-11-18,Two-Way,2022-23,2022
Devon Dotson,Capital City Go-Go,Washington Wizards,2022-11-20,Two-Way,2022-23,2022
Saben Lee,Raptors 905,Philadelphia 76ers,2022-11-23,Two-Way,2022-23,2022
Dru Smith,Sioux Falls Skyforce,Miami Heat,2022-11-25,Two-Way,2022-23,2022
Alize Johnson,Austin Spurs,San Antonio Spurs,2022-11-29,Standard,2022-23,2022
DaQuan Jeffries,Westchester Knicks,New York Knicks,2022-11-29,Two-Way,2022-23,2022
Orlando Robinson,Sioux Falls Skyforce,Miami Heat,2022-12-11,Two-Way,2022-23,2022
Stanley Johnson,Sioux Falls Skyforce,San Antonio Spurs,2022-12-13,Standard,2022-23,2022
Carlik Jones,Windy City Bulls,Chicago Bulls,2022-12-16,Two-Way,2022-23,2022
Jared Rhoden,College Park Skyhawks,Detroit Pistons,2022-12-26,Two-Way,2022-23,2022
A.J. Lawson,College Park Skyhawks,Dallas Mavericks,2022-12-26,Two-Way,2022-23,2022
Louis King,Rio Grande Valley Vipers,Philadelphia 76ers,2022-12-26,Two-Way,2022-23,2022
Sterling Brown,Raptors 905,Los Angeles Lakers,2023-01-06,10-Day,2022-23,2022
Joe Wieskamp,Wisconsin Herd,Toronto Raptors,2023-01-07,10-Day,2022-23,2022
PJ Dozier,Iowa Wolves,Sacramento Kings,2023-01-09,10-Day,2022-23,2022
Saben Lee,Raptors 905,Phoenix Suns,2023-01-11,10-Day,2022-23,2022
Dru Smith,Sioux Falls Skyforce,Brooklyn Nets,2023-01-13,Two-Way,2022-23,2022
Donovan Williams,Long Island Nets,Atlanta Hawks,2023-01-17,Two-Way,2022-23,2022
Deonte Burton,Stockton Kings,Sacramento Kings,2023-01-30,10-Day,2022-23,2022
Chris Silva,College Park Skyhawks,Dallas Mavericks,2023-01-31,10-Day,2022-23,2022
Jamaree Bouyea,Sioux Falls Skyforce,Miami Heat,2023-02-08,10-Day,2022-23,2022
Quenton Jackson,Capital City Go-Go,Washington Wizards,2023-02-10,Two-Way,2022-23,2022
Stanley Umude,Motor City Cruise,Detroit Pistons,2023-02-10,10-Day,2022-23,2022
Joe Wieskamp,Wisconsin Herd,Toronto Raptors,2023-02-11,Standard,2022-23,2022
Olivier Sarr,Oklahoma City Blue,Oklahoma City Thunder,2023-02-12,Two-Way,2022-23,2022
Mac McClung,Delaware Blue Coats,Philadelphia 76ers,2023-02-14,Two-Way,2022-23,2022
Nate Darling,Ontario Clippers,LA Clippers,2023-02-17,Two-Way,2022-23,2022
Keaton Wallace,Ontario Clippers,LA Clippers,2023-02-21,Two-Way,2022-23,2022
Kris Dunn,Capital City Go-Go,Utah Jazz,2023-02-22,10-Day,2022-23,2022
Frank Jackson,Salt Lake City Stars,Utah Jazz,2023-02-22,10-Day,2022-23,2022
PJ Dozier,Iowa Wolves,Sacramento Kings,2023-02-26,Standard,2022-23,2022
Willie Cauley-Stein,Rio Grande Valley Vipers,Houston Rockets,2023-02-27,10-Day,2022-23,2022
Jay Huff,South Bay Lakers,Washington Wizards,2023-03-01,Two-Way,2022-23,2022
Xavier Moon,Ontario Clippers,LA Clippers,2023-03-01,Two-Way,2022-23,2022
Lester Quinones,Santa Cruz Warriors,Golden State Warriors,2023-03-02,10-Day,2022-23,2022
Sam Merrill,Cleveland Charge,Cleveland Cavaliers,2023-03-03,10-Day,2022-23,2022
Jamaree Bouyea,Sioux Falls Skyforce,Washington Wizards,2023-03-03,10-Day,2022-23,2022
Jared Butler,Grand Rapids Gold,Oklahoma City Thunder,2023-03-03,Two-Way,2022-23,2022
Lindell Wigginton,Wisconsin Herd,Milwaukee Bucks,2023-03-07,Two-Way,2022-23,2022
Trevor Keels,Westchester Knicks,New York Knicks,2023-03-13,Two-Way,2022-23,2022
Lester Quinones,Santa Cruz Warriors,Golden State Warriors,2023-03-17,Two-Way,2022-23,2022
Jay Scrubb,Lakeland Magic,Orlando Magic,2023-03-24,Two-Way,2022-23,2022
Xavier Sneed,Greensboro Swarm,Charlotte Hornets,2023-03-28,10-Day,2022-23,2022
Luka Samanic,Maine Celtics,Utah Jazz,2023-03-28,10-Day,2022-23,2022
Kobi Simmons,Greensboro Swarm,Charlotte Hornets,2023-03-30,Two-Way,2022-23,2022
Gabe York,Fort Wayne Mad Ants,Indiana Pacers,2023-03-30,Two-Way,2022-23,2022
Skylar Mays,Mexico City Capitanes,Portland Trail Blazers,2023-03-30,10-Day,2022-23,2022
Shaquille Harrison,South Bay Lakers,Portland Trail Blazers,2023-03-30,10-Day,2022-23,2022
Jeenathan Williams,Salt Lake City Stars,Portland Trail Blazers,2023-04-01,Standard,2022-23,2022
Justin Minaya,Mexico City Capitanes,Portland Trail Blazers,2023-04-04,Standard,2022-23,2022
Justin Champagnie,Sioux Falls Skyforce,Boston Celtics,2023-04-08,Standard,2022-23,2022
Jacob Gilyard,Memphis Hustle,Memphis Grizzlies,2023-04-08,Two-Way,2022-23,2022
RaiQuan Gray,Long Island Nets,Brooklyn Nets,2023-04-08,Two-Way,2022-23,2022
Willie Cauley-Stein,Rio Grande Valley Vipers,Houston Rockets,2023-04-09,Standard,2022-23,2022
Chance Comanche,Stockton Kings,Portland Trail Blazers,2023-04-09,Standard,2022-23,2022
