player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
B.J. Johnson,Lakeland Magic,Orlando Magic,2019-11-05,Two-Way,2019-20,2019
Juwan Morgan,Salt Lake City Stars,Utah Jazz,2019-11-21,Standard,2019-20,2019
Devontae Cacock,South Bay Lakers,Los Angeles Lakers,2019-12-11,Two-Way,2019-20,2019
Kevin Hervey,Oklahoma City Blue,Oklahoma City Thunder,2019-12-12,Two-Way,2019-20,2019
Anzejs Pasecniks,Capital City Go-Go,Washington Wizards,2019-12-18,Two-Way,2019-20,2019
Gary Payton II,South Bay Lakers,Washington Wizards,2019-12-23,Standard,2019-20,2019
Rayjon Tucker,Wisconsin Herd,Utah Jazz,2019-12-26,Standard,2019-20,2019
William Howard,Salt Lake City Stars,Houston Rockets,2019-12-27,Two-Way,2019-20,2019
Chris Chiozza,Capital City Go-Go,Brooklyn Nets,2020-01-04,Two-Way,2019-20,2019
Justin Anderson,Raptors 905,Brooklyn Nets,2020-01-06,10-Day,2019-20,2019
Levi Randolph,Canton Charge,Cleveland Cavaliers,2020-01-06,Two-Way,2019-20,2019
Paul Watson,Raptors 905,Atlanta Hawks,2020-01-06,10-Day,2019-20,2019
Gabe Vincent,Stockton Kings,Miami Heat,2020-01-08,Two-Way,2019-20,2019
Tyler Cook,Canton Charge,Cleveland Cavaliers,2020-01-09,10-Day,2019-20,2019
Vic Law,Lakeland Magic,Orlando Magic,2020-01-11,Two-Way,2019-20,2019
Kenny Wooten,Westchester Knicks,New York Knicks,2020-01-14,Two-Way,2019-20,2019
Ray Spalding,Rio Grande Valley Vipers,Charlotte Hornets,2020-01-15,Two-Way,2019-20,2019
Matt Mooney,Memphis Hustle,Cleveland Cavaliers,2020-01-15,Two-Way,2019-20,2019
Kyle Alexander,Sioux Falls Skyforce,Miami Heat,2020-01-15,Two-Way,2019-20,2019
Tariq Owens,Northern Arizona Suns,Phoenix Suns,2020-01-15,Two-Way,2019-20,2019
Paul Watson,Raptors 905,Toronto Raptors,2020-01-15,Two-Way,2019-20,2019
Jeremiah Martin,Sioux Falls Skyforce,Brooklyn Nets,2020-01-16,Two-Way,2019-20,2019
Marques Bolden,Canton Charge,Cleveland Cavaliers,2020-01-30,10-Day,2019-20,2019
Eric Mika,Stockton Kings,Sacramento Kings,2020-02-01,10-Day,2019-20,2019
Juan Toscano-Anderson,Santa Cruz Warriors,Golden State Warriors,2020-02-07,Standard,2019-20,2019
Zach Norvell Jr.,South Bay Lakers,Golden State Warriors,2020-02-08,10-Day,2019-20,2019
Jeremy Pargo,Santa Cruz Warriors,Golden State Warriors,2020-02-08,10-Day,2019-20,2019
J.P. Macura,Canton Charge,Cleveland Cavaliers,2020-02-09,10-Day,2019-20,2019
Malik Newman,Canton Charge,Cleveland Cavaliers,2020-02-09,10-Day,2019-20,2019
Joe Chealey,Greensboro Swarm,Charlotte Hornets,2020-02-21,10-Day,2019-20,2019
Dusty Hannahs,Memphis Hustle,Memphis Grizzlies,2020-02-21,10-Day,2019-20,2019
Donta Hall,Grand Rapids Drive,Detroit Pistons,2020-02-22,10-Day,2019-20,2019
Mychal Mulder,Sioux Falls Skyforce,Golden State Warriors,2020-02-26,10-Day,2019-20,2019
Jarrod Uthoff,Memphis Hustle,Memphis Grizzlies,2020-02-27,10-Day,2019-20,2019
Sir'Dominic Pointer,Canton Charge,Cleveland Cavaliers,2020-03-04,10-Day,2019-20,2019
Sheldon Mac,Canton Charge,Cleveland Cavaliers,2020-03-08,10-Day,2019-20,2019
