date,season,player_name,nba_team,contract_type,year,season_id,season_type,team_id,player_id,position,total_games_played,total_games_started,total_minutes,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_flagrant_fouls,total_ejections,total_foulouts,total_tech_fouls_non_unsportsmanlike,total_true_shooting_att,total_true_shooting_pct,total_efficiency,total_field_goals_at_rim_made,total_field_goals_at_rim_att,total_field_goals_at_rim_pct,total_field_goals_at_midrange_made,total_field_goals_at_midrange_att,total_field_goals_at_midrange_pct,total_usage_pct,avg_minutes,avg_points,avg_off_rebounds,avg_def_rebounds,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_personal_fouls,avg_flagrant_fouls,avg_blocked_att,avg_field_goals_made,avg_field_goals_att,avg_three_points_made,avg_three_points_att,avg_free_throws_made,avg_free_throws_att,avg_two_points_made,avg_two_points_att,avg_efficiency,avg_true_shooting_att,games_played,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,tpm,tpa,ftm,fta
2022-02-26,2021-22,Tim Frazier,Cleveland Cavaliers,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,2021-22,Shaquille Harrison,Memphis Grizzlies,10-day contract,2022,2022.0,REG,0a3d428b-572a-4a94-b716-8c1297c53d8e,11ea5d7e-720b-4f0a-88e4-21819c8260da,G,32.0,32.0,1041.0,177.0,359.0,0.493,163.0,302.0,0.54,14.0,57.0,0.246,20.0,41.0,58.0,0.707,33.0,165.0,198.0,268.0,83.0,3.23,67.0,31.0,102.0,0.0,436.0,1.0,0.0,1.0,0.0,384.52,0.567,718.0,109.0,154.0,0.708,6.0,34.0,0.176,19.23,32.5,13.6,1.03,5.16,6.19,8.4,2.09,0.97,2.59,3.19,0.03,0.63,5.53,11.22,0.44,1.78,1.28,1.81,5.09,9.44,22.44,12.02,32.0,1041.0,436.0,268.0,198.0,67.0,31.0,83.0,177.0,359.0,14.0,57.0,41.0,58.0
2022-01-06,2021-22,Ryan Arcidiacono,New York Knicks,Two 10-day contracts (only 1st date is shown),2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-04,2021-22,Reggie Perry,Indiana Pacers,10-day contract,2022,2022.0,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,6e93d81c-db09-43c3-9a4c-a251bddba343,F-C,17.0,13.0,509.0,118.0,262.0,0.45,102.0,198.0,0.515,16.0,64.0,0.25,19.0,66.0,78.0,0.846,24.0,91.0,115.0,58.0,49.0,1.18,18.0,12.0,55.0,5.0,361.0,1.0,0.0,1.0,0.0,296.32,0.609,359.0,60.0,78.0,0.769,3.0,21.0,0.143,29.22,29.9,21.2,1.41,5.35,6.76,3.4,1.06,0.71,2.88,3.24,0.06,1.12,6.94,15.41,0.94,3.76,3.88,4.59,6.0,11.65,21.12,17.43,17.0,509.0,361.0,58.0,115.0,18.0,12.0,49.0,118.0,262.0,16.0,64.0,66.0,78.0
2022-02-04,2021-22,Reggie Perry,Indiana Pacers,10-day contract,2022,2022.0,REG,452c9579-2fea-4534-8d18-5c701c8912db,6e93d81c-db09-43c3-9a4c-a251bddba343,F-C,7.0,0.0,155.0,54.0,89.0,0.607,48.0,75.0,0.64,6.0,14.0,0.429,2.0,14.0,18.0,0.778,13.0,33.0,46.0,17.0,18.0,0.94,3.0,3.0,23.0,1.0,136.0,0.0,0.0,0.0,0.0,96.92,0.702,148.0,24.0,31.0,0.774,3.0,11.0,0.273,32.9,22.1,19.4,1.86,4.71,6.57,2.4,0.43,0.43,2.57,3.29,0.0,0.29,7.71,12.71,0.86,2.0,2.0,2.57,6.86,10.71,21.14,13.85,7.0,155.0,136.0,17.0,46.0,3.0,3.0,18.0,54.0,89.0,6.0,14.0,14.0,18.0
2022-01-07,2021-22,Norvel Pelle,Utah Jazz,10-day contract,2022,2022.0,REG,132ef7de-e880-4863-bf57-27894ea0f5bb,b0d83e10-10ad-4719-bdf6-917eb2f29d22,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,2021-22,Norvel Pelle,Utah Jazz,10-day contract,2022,2022.0,REG,5335bf84-d1ec-4c85-bc0e-1c36abc091e6,b0d83e10-10ad-4719-bdf6-917eb2f29d22,C,11.0,0.0,145.0,21.0,47.0,0.447,21.0,47.0,0.447,0.0,0.0,0.0,4.0,7.0,11.0,0.636,22.0,21.0,43.0,6.0,12.0,0.5,2.0,14.0,30.0,0.0,55.0,0.0,0.0,1.0,0.0,51.84,0.53,78.0,16.0,33.0,0.485,0.0,0.0,0.0,18.57,13.2,5.0,2.0,1.91,3.91,0.5,0.18,1.27,1.09,2.73,0.0,0.36,1.91,4.27,0.0,0.0,0.64,1.0,1.91,4.27,7.09,4.71,11.0,145.0,55.0,6.0,43.0,2.0,14.0,12.0,21.0,47.0,0.0,0.0,7.0,11.0
2022-03-10,2021-22,Moses Brown,Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown),2022,2022.0,REG,4dc54726-0738-413b-98b1-5b90dfe99aae,bd98e877-a3c0-4c24-9e27-b9fc43e901e6,C,1.0,1.0,31.0,7.0,14.0,0.5,7.0,14.0,0.5,0.0,0.0,0.0,1.0,2.0,5.0,0.4,8.0,9.0,17.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,16.2,0.556,27.0,2.0,3.0,0.667,0.0,1.0,0.0,25.45,31.0,18.0,8.0,9.0,17.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,7.0,14.0,0.0,0.0,2.0,5.0,7.0,14.0,27.0,16.2,1.0,31.0,18.0,2.0,17.0,0.0,2.0,2.0,7.0,14.0,0.0,0.0,2.0,5.0
2022-03-10,2021-22,Moses Brown,Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown),2022,2022.0,REG,80411a5b-5ac0-4297-a19d-2dff8e0b611b,bd98e877-a3c0-4c24-9e27-b9fc43e901e6,C,4.0,3.0,92.0,20.0,30.0,0.667,20.0,30.0,0.667,0.0,0.0,0.0,-1.0,4.0,10.0,0.4,14.0,28.0,42.0,2.0,8.0,0.25,0.0,5.0,12.0,0.0,47.0,0.0,0.0,0.0,0.0,34.4,0.683,72.0,16.0,24.0,0.667,0.0,0.0,0.0,20.51,23.0,11.8,3.5,7.0,10.5,0.5,0.0,1.25,2.0,3.0,0.0,-0.25,5.0,7.5,0.0,0.0,1.0,2.5,5.0,7.5,18.0,8.6,4.0,92.0,47.0,2.0,42.0,0.0,5.0,8.0,20.0,30.0,0.0,0.0,4.0,10.0
2022-02-04,2021-22,Miye Oni,New Orleans Pelicans,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,2021-22,Mamadi Diakite,Oklahoma City Thunder,Three or more 10-day contracts (only 1st date is shown),2022,2022.0,REG,de15d563-8e6b-4f3d-ba47-9dfb6fc51222,90a9ee30-01ef-4be7-acc1-6cb8dce244b8,F,12.0,11.0,393.0,75.0,150.0,0.5,54.0,87.0,0.621,21.0,63.0,0.333,5.0,20.0,25.0,0.8,24.0,68.0,92.0,32.0,40.0,0.8,9.0,25.0,39.0,1.0,202.0,0.0,0.0,0.0,0.0,161.0,0.627,240.0,37.0,48.0,0.771,4.0,10.0,0.4,22.79,32.8,16.8,2.0,5.67,7.67,2.7,0.75,2.08,3.33,3.25,0.0,0.42,6.25,12.5,1.75,5.25,1.67,2.08,4.5,7.25,20.0,13.42,12.0,393.0,202.0,32.0,92.0,9.0,25.0,40.0,75.0,150.0,21.0,63.0,20.0,25.0
2022-02-23,2021-22,Malik Fitts,Boston Celtics,Two 10-day contracts followed by signing for the rest of season,2022,2022.0,REG,80411a5b-5ac0-4297-a19d-2dff8e0b611b,938b89ee-9088-4fce-a650-efb628a795b2,F,18.0,13.0,539.0,56.0,159.0,0.352,35.0,78.0,0.449,21.0,81.0,0.259,8.0,16.0,19.0,0.842,6.0,74.0,80.0,27.0,19.0,1.42,14.0,2.0,27.0,1.0,162.0,0.0,0.0,0.0,0.0,167.36,0.484,160.0,14.0,25.0,0.56,7.0,14.0,0.5,15.39,29.9,9.0,0.33,4.11,4.44,1.5,0.78,0.11,1.06,1.5,0.0,0.44,3.11,8.83,1.17,4.5,0.89,1.06,1.94,4.33,8.89,9.3,18.0,539.0,162.0,27.0,80.0,14.0,2.0,19.0,56.0,159.0,21.0,81.0,16.0,19.0
2022-01-14,2021-22,Malcolm Hill,Chicago Bulls,10-day contract,2022,2022.0,REG,34f6b263-8f03-481a-9e59-0ce0bcd86480,7b539a1f-6d6e-47e3-8251-799d346e90a0,F,8.0,8.0,303.0,36.0,89.0,0.404,17.0,36.0,0.472,19.0,53.0,0.358,5.0,17.0,20.0,0.85,10.0,39.0,49.0,22.0,6.0,3.67,11.0,2.0,23.0,0.0,121.0,0.0,0.0,1.0,0.0,97.8,0.619,143.0,11.0,20.0,0.55,1.0,7.0,0.143,15.23,37.9,15.1,1.25,4.88,6.13,2.8,1.38,0.25,0.75,2.88,0.0,0.63,4.5,11.13,2.38,6.63,2.13,2.5,2.13,4.5,17.88,12.23,8.0,303.0,121.0,22.0,49.0,11.0,2.0,6.0,36.0,89.0,19.0,53.0,17.0,20.0
2022-01-14,2021-22,Malcolm Hill,Chicago Bulls,10-day contract,2022,2022.0,REG,a565062b-f8be-4a7f-b1f1-502057f3b365,7b539a1f-6d6e-47e3-8251-799d346e90a0,F,9.0,9.0,300.0,41.0,100.0,0.41,18.0,39.0,0.462,23.0,61.0,0.377,5.0,21.0,25.0,0.84,11.0,44.0,55.0,21.0,6.0,3.5,10.0,3.0,23.0,0.0,139.0,0.0,0.0,0.0,0.0,111.0,0.626,159.0,12.0,23.0,0.522,2.0,6.0,0.333,17.46,33.3,15.4,1.22,4.89,6.11,2.3,1.11,0.33,0.67,2.56,0.0,0.56,4.56,11.11,2.56,6.78,2.33,2.78,2.0,4.33,17.67,12.33,9.0,300.0,139.0,21.0,55.0,10.0,3.0,6.0,41.0,100.0,23.0,61.0,21.0,25.0
2022-01-03,2021-22,Luke Kornet,Milwaukee Bucks,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,2021-22,Langston Galloway,Milwaukee Bucks,10-day contract,2022,2022.0,REG,68b3b75b-6d7f-437f-b450-bcd5d0727fa5,846706c5-4967-47c5-8165-9e454da999f8,G,29.0,27.0,943.0,156.0,322.0,0.484,64.0,124.0,0.516,92.0,198.0,0.465,9.0,40.0,48.0,0.833,29.0,66.0,95.0,66.0,26.0,2.54,47.0,9.0,51.0,1.0,469.0,0.0,0.0,0.0,0.0,343.12,0.683,486.0,28.0,43.0,0.651,16.0,32.0,0.5,16.99,32.5,16.2,1.0,2.28,3.28,2.3,1.62,0.31,0.9,1.76,0.0,0.31,5.38,11.1,3.17,6.83,1.38,1.66,2.21,4.28,16.76,11.83,29.0,943.0,469.0,66.0,95.0,47.0,9.0,26.0,156.0,322.0,92.0,198.0,40.0,48.0
2022-01-01,2021-22,Lance Stephenson,Indiana Pacers,Three or more 10-day contracts followed by signing for the rest of season,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,2021-22,Kris Dunn,Portland Trail Blazers,Three or more 10-day contracts (only 1st date is shown),2022,2022.0,REG,cefdc308-b8ea-441e-a698-6ef3891cec35,67442557-ffa0-4325-b330-b1457bfb279d,G,20.0,8.0,588.0,121.0,233.0,0.519,100.0,182.0,0.549,21.0,51.0,0.412,4.0,37.0,49.0,0.755,15.0,92.0,107.0,107.0,43.0,2.49,49.0,11.0,56.0,0.0,323.0,0.0,0.0,1.0,0.0,254.56,0.634,430.0,49.0,72.0,0.681,1.0,6.0,0.167,22.41,29.4,16.2,0.75,4.6,5.35,5.4,2.45,0.55,2.15,2.8,0.0,0.2,6.05,11.65,1.05,2.55,1.85,2.45,5.0,9.1,21.5,12.73,20.0,588.0,323.0,107.0,107.0,49.0,11.0,43.0,121.0,233.0,21.0,51.0,37.0,49.0
2022-02-23,2021-22,Kelan Martin,Boston Celtics,Two 10-day contracts (only 1st date is shown),2022,2022.0,REG,a565062b-f8be-4a7f-b1f1-502057f3b365,6a498bb1-5073-4504-8af2-42206d24b4fe,F,30.0,30.0,926.0,219.0,441.0,0.497,148.0,273.0,0.542,71.0,168.0,0.423,23.0,65.0,73.0,0.89,27.0,83.0,110.0,83.0,51.0,1.63,22.0,12.0,53.0,6.0,611.0,0.0,0.0,0.0,0.0,473.12,0.646,557.0,68.0,105.0,0.648,36.0,74.0,0.486,25.34,30.9,20.4,0.9,2.77,3.67,2.8,0.73,0.4,1.7,1.77,0.0,0.77,7.3,14.7,2.37,5.6,2.17,2.43,4.93,9.1,18.57,15.77,30.0,926.0,611.0,83.0,110.0,22.0,12.0,51.0,219.0,441.0,71.0,168.0,65.0,73.0
2022-03-28,2021-22,Juwan Morgan,Boston Celtics,10-day contract followed by signing for the rest of season,2022,2022.0,REG,80411a5b-5ac0-4297-a19d-2dff8e0b611b,1b7b9aac-208d-4a03-a78b-be7651ee60d6,F,4.0,2.0,82.0,10.0,23.0,0.435,7.0,13.0,0.538,3.0,10.0,0.3,1.0,3.0,5.0,0.6,7.0,14.0,21.0,7.0,3.0,2.33,2.0,2.0,11.0,0.0,27.0,0.0,0.0,0.0,0.0,25.2,0.536,41.0,4.0,7.0,0.571,0.0,2.0,0.0,15.31,20.5,6.8,1.75,3.5,5.25,1.8,0.5,0.5,0.75,2.75,0.0,0.25,2.5,5.75,0.75,2.5,0.75,1.25,1.75,3.25,10.25,6.3,4.0,82.0,27.0,7.0,21.0,2.0,2.0,3.0,10.0,23.0,3.0,10.0,3.0,5.0
2022-01-04,2021-22,Justin Jackson,Phoenix Suns,Two 10-day contracts (only 1st date is shown),2022,2022.0,REG,cb42985c-2c08-4540-8b89-ea4d0b84958e,fd1b8de8-1ea6-446e-9a86-a89bc28ae510,F,14.0,14.0,506.0,100.0,226.0,0.442,38.0,79.0,0.481,62.0,147.0,0.422,8.0,18.0,29.0,0.621,12.0,78.0,90.0,42.0,16.0,2.63,13.0,8.0,18.0,0.0,295.0,0.0,0.0,0.0,0.0,238.76,0.618,295.0,16.0,27.0,0.593,2.0,15.0,0.133,22.36,36.1,21.1,0.86,5.57,6.43,3.0,0.93,0.57,1.14,1.29,0.0,0.57,7.14,16.14,4.43,10.5,1.29,2.07,2.71,5.64,21.07,17.05,14.0,506.0,295.0,42.0,90.0,13.0,8.0,16.0,100.0,226.0,62.0,147.0,18.0,29.0
2022-01-01,2021-22,Justin Anderson,Indiana Pacers,Three or more 10-day contracts (only 1st date is shown),2022,2022.0,REG,5335bf84-d1ec-4c85-bc0e-1c36abc091e6,2bf99e92-5800-4f20-9da8-60b938d7d602,F-G,30.0,30.0,1122.0,232.0,492.0,0.472,169.0,298.0,0.567,63.0,194.0,0.325,20.0,104.0,125.0,0.832,22.0,132.0,154.0,149.0,81.0,1.84,34.0,25.0,57.0,8.0,688.0,1.0,1.0,0.0,0.0,547.0,0.629,688.0,91.0,128.0,0.711,25.0,59.0,0.424,23.61,37.4,22.9,0.73,4.4,5.13,5.0,1.13,0.83,2.7,1.9,0.03,0.67,7.73,16.4,2.1,6.47,3.47,4.17,5.63,9.93,22.93,18.23,30.0,1122.0,688.0,149.0,154.0,34.0,25.0,81.0,232.0,492.0,63.0,194.0,104.0,125.0
2022-01-03,2021-22,Jon Teske,Memphis Grizzlies,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,2021-22,Jeff Dowtin,Milwaukee Bucks,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22,2021-22,Jeff Dowtin,Orlando Magic,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,2021-22,Jaylen Morris,San Antonio Spurs,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,2021-22,James Ennis,Denver Nuggets,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-02,2021-22,Isaiah Thomas,Charlotte Hornets,Two 10-day contracts followed by signing for the rest of season,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-05,2021-22,Greg Monroe,Milwaukee Bucks,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28,2021-22,Greg Monroe,Utah Jazz,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-06,2021-22,Greg Monroe,Washington Wizards,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,2021-22,Georgios Kalaitzakis,Oklahoma City Thunder,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,2021-22,Drew Eubanks,Portland Trail Blazers,Three or more 10-day contracts (only 1st date is shown),2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,2021-22,Devin Cannady,Orlando Magic,10-day contract followed by signing for the rest of season,2022,2022.0,REG,0a3d428b-572a-4a94-b716-8c1297c53d8e,3dac40ac-b6e8-4f15-b0ed-393bef82006d,G,31.0,28.0,889.0,124.0,297.0,0.418,58.0,116.0,0.5,66.0,181.0,0.365,12.0,29.0,32.0,0.906,17.0,66.0,83.0,68.0,40.0,1.7,27.0,18.0,71.0,1.0,355.0,0.0,0.0,1.0,0.0,311.08,0.571,335.0,27.0,34.0,0.794,17.0,43.0,0.395,16.91,28.7,11.5,0.55,2.13,2.68,2.2,0.87,0.58,1.29,2.29,0.0,0.39,4.0,9.58,2.13,5.84,0.94,1.03,1.87,3.74,10.81,10.03,31.0,889.0,355.0,68.0,83.0,27.0,18.0,40.0,124.0,297.0,66.0,181.0,29.0,32.0
2022-01-10,2021-22,Denzel Valentine,Utah Jazz,10-day contract,2022,2022.0,REG,5902b793-b75b-4707-b065-3a76f0314715,901ad54a-2bcd-4f45-9a24-03d72737c4ca,G,21.0,20.0,663.0,98.0,234.0,0.419,36.0,74.0,0.486,62.0,160.0,0.388,2.0,10.0,12.0,0.833,16.0,136.0,152.0,120.0,58.0,2.07,19.0,1.0,58.0,1.0,274.0,0.0,0.0,0.0,0.0,239.28,0.573,370.0,18.0,25.0,0.72,1.0,6.0,0.167,19.25,31.6,13.0,0.76,6.48,7.24,5.7,0.9,0.05,2.76,2.76,0.0,0.1,4.67,11.14,2.95,7.62,0.48,0.57,1.71,3.52,17.62,11.39,21.0,663.0,274.0,120.0,152.0,19.0,1.0,58.0,98.0,234.0,62.0,160.0,10.0,12.0
2022-01-21,2021-22,DeMarcus Cousins,Denver Nuggets,Three or more 10-day contracts followed by signing for the rest of season,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-06,2021-22,Danuel House,Utah Jazz,Three or more 10-day contracts followed by signing for the rest of season,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,2021-22,DaQuan Jeffries,Memphis Grizzlies,10-day contract,2022,2022.0,REG,4dc54726-0738-413b-98b1-5b90dfe99aae,80bf06f8-b2d8-483b-849c-2a168198cfbc,G-F,22.0,21.0,697.0,161.0,328.0,0.491,108.0,195.0,0.554,53.0,133.0,0.398,16.0,42.0,61.0,0.689,28.0,110.0,138.0,66.0,33.0,2.0,43.0,30.0,63.0,0.0,449.0,1.0,0.0,0.0,0.0,354.84,0.633,507.0,50.0,68.0,0.735,16.0,41.0,0.39,24.12,31.7,20.4,1.27,5.0,6.27,3.0,1.95,1.36,1.5,2.86,0.05,0.73,7.32,14.91,2.41,6.05,1.91,2.77,4.91,8.86,23.05,16.13,22.0,697.0,449.0,66.0,138.0,43.0,30.0,33.0,161.0,328.0,53.0,133.0,42.0,61.0
2022-01-03,2021-22,Charlie Brown,Philadelphia 76ers,10-day contract,2022,2022.0,REG,67a79348-041a-45f6-bb12-722d38dc8dbf,0e931cf0-f64d-4a48-9c4c-08aebceeb23a,G,32.0,17.0,843.0,158.0,301.0,0.525,119.0,178.0,0.669,39.0,123.0,0.317,6.0,44.0,54.0,0.815,62.0,139.0,201.0,80.0,56.0,1.43,50.0,19.0,65.0,3.0,428.0,0.0,0.0,0.0,0.0,324.76,0.659,569.0,86.0,114.0,0.754,12.0,22.0,0.545,18.74,26.3,13.4,1.94,4.34,6.28,2.5,1.56,0.59,1.75,2.03,0.0,0.19,4.94,9.41,1.22,3.84,1.38,1.69,3.72,5.56,17.78,10.15,32.0,843.0,428.0,80.0,201.0,50.0,19.0,56.0,158.0,301.0,39.0,123.0,44.0,54.0
2022-01-01,2021-22,Carlik Jones,Denver Nuggets,10-day contract,2022,2022.0,REG,34f6b263-8f03-481a-9e59-0ce0bcd86480,c6cd235f-3872-4064-ba88-fa0a14c16b6a,G,24.0,24.0,920.0,229.0,477.0,0.48,179.0,337.0,0.531,50.0,140.0,0.357,33.0,75.0,96.0,0.781,18.0,87.0,105.0,168.0,60.0,2.8,41.0,3.0,31.0,3.0,627.0,0.0,0.0,0.0,0.0,519.24,0.604,615.0,100.0,145.0,0.69,42.0,101.0,0.416,27.99,38.3,26.1,0.75,3.63,4.38,7.0,1.71,0.13,2.5,1.29,0.0,1.38,9.54,19.88,2.08,5.83,3.13,4.0,7.46,14.04,25.63,21.64,24.0,920.0,627.0,168.0,105.0,41.0,3.0,60.0,229.0,477.0,50.0,140.0,75.0,96.0
2022-03-24,2021-22,Braxton Key,Detroit Pistons,10-day contract,2022,2022.0,REG,67a79348-041a-45f6-bb12-722d38dc8dbf,3db6397e-e9da-4217-a8fd-8d1898d6fe13,F,30.0,2.0,778.0,162.0,312.0,0.519,123.0,215.0,0.572,39.0,97.0,0.402,19.0,30.0,47.0,0.638,57.0,174.0,231.0,122.0,53.0,2.3,52.0,37.0,71.0,2.0,411.0,1.0,0.0,0.0,0.0,332.68,0.618,633.0,95.0,136.0,0.699,7.0,24.0,0.292,20.57,25.9,13.7,1.9,5.8,7.7,4.1,1.73,1.23,1.77,2.37,0.03,0.63,5.4,10.4,1.3,3.23,1.0,1.57,4.1,7.17,21.1,11.09,30.0,778.0,411.0,122.0,231.0,52.0,37.0,53.0,162.0,312.0,39.0,97.0,30.0,47.0
2022-01-05,2021-22,Braxton Key,Philadelphia 76ers,10-day contract,2022,2022.0,REG,67a79348-041a-45f6-bb12-722d38dc8dbf,3db6397e-e9da-4217-a8fd-8d1898d6fe13,F,30.0,2.0,778.0,162.0,312.0,0.519,123.0,215.0,0.572,39.0,97.0,0.402,19.0,30.0,47.0,0.638,57.0,174.0,231.0,122.0,53.0,2.3,52.0,37.0,71.0,2.0,411.0,1.0,0.0,0.0,0.0,332.68,0.618,633.0,95.0,136.0,0.699,7.0,24.0,0.292,20.57,25.9,13.7,1.9,5.8,7.7,4.1,1.73,1.23,1.77,2.37,0.03,0.63,5.4,10.4,1.3,3.23,1.0,1.57,4.1,7.17,21.1,11.09,30.0,778.0,411.0,122.0,231.0,52.0,37.0,53.0,162.0,312.0,39.0,97.0,30.0,47.0
2022-01-01,2021-22,Bismack Biyombo,Phoenix Suns,10-day contract,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-06,2021-22,Armoni Brooks,Toronto Raptors,Two 10-day contracts followed by signing for the rest of season,2022,2022.0,REG,68b3b75b-6d7f-437f-b450-bcd5d0727fa5,36ede7a8-2221-42d7-af41-cd8859828cef,G,28.0,7.0,750.0,144.0,325.0,0.443,61.0,108.0,0.565,83.0,217.0,0.382,11.0,24.0,30.0,0.8,16.0,126.0,142.0,52.0,22.0,2.36,18.0,13.0,39.0,2.0,407.0,0.0,0.0,0.0,0.0,338.2,0.602,423.0,37.0,51.0,0.725,6.0,14.0,0.429,20.84,26.8,14.5,0.57,4.5,5.07,1.9,0.64,0.46,0.79,1.39,0.0,0.39,5.14,11.61,2.96,7.75,0.86,1.07,2.18,3.86,15.11,12.08,28.0,750.0,407.0,52.0,142.0,18.0,13.0,22.0,144.0,325.0,83.0,217.0,24.0,30.0
2022-01-06,2021-22,Anthony Lamb,San Antonio Spurs,10-day contract,2022,2022.0,REG,b0a52b1f-878d-4987-9249-026360e0207a,defbce0b-e400-407b-b8df-48842a114fbd,F,6.0,2.0,160.0,27.0,66.0,0.409,21.0,37.0,0.568,6.0,29.0,0.207,2.0,6.0,11.0,0.545,7.0,29.0,36.0,24.0,12.0,2.0,2.0,11.0,7.0,0.0,70.0,0.0,0.0,0.0,0.0,70.84,0.494,87.0,13.0,20.0,0.65,4.0,5.0,0.8,21.72,26.7,11.7,1.17,4.83,6.0,4.0,0.33,1.83,2.0,1.17,0.0,0.33,4.5,11.0,1.0,4.83,1.0,1.83,3.5,6.17,14.5,11.81,6.0,160.0,70.0,24.0,36.0,2.0,11.0,12.0,27.0,66.0,6.0,29.0,6.0,11.0
