player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Gui Santos,Santa Cruz Warriors,Golden State Warriors,2023-11-07,Standard,2023-24,2023
Kevin Knox II,Rip City Remix,Detroit Pistons,2023-11-08,Standard,2023-24,2023
Jamaree Bouyea,Sioux Falls Skyforce,Portland Trail Blazers,2023-11-12,Two-Way,2023-24,2023
Xavier Moon,Ontario Clippers,LA Clippers,2023-11-16,Standard,2023-24,2023
Ibou Badji,Wisconsin Herd,Portland Trail Blazers,2023-11-22,Two-Way,2023-24,2023
Jaylen Nowell,Stockton Kings,Memphis Grizzlies,2023-11-24,10-Day,2023-24,2023
Shaquille Harrison,South Bay Lakers,Memphis Grizzlies,2023-11-24,10-Day,2023-24,2023
Jaylen Martin,Westchester Knicks,New York Knicks,2023-11-27,Two-Way,2023-24,2023
Jules Bernard,Capital City Go-Go,Washington Wizards,2023-12-08,Two-Way,2023-24,2023
Jontay Porter,Motor City Cruise,Toronto Raptors,2023-12-10,Two-Way,2023-24,2023
Drew Peterson,Sioux Falls Skyforce,Boston Celtics,2023-12-13,Two-Way,2023-24,2023
David Duke Jr.,Delaware Blue Coats,San Antonio Spurs,2023-12-14,Two-Way,2023-24,2023
Nathan Mensah,Greensboro Swarm,Charlotte Hornets,2023-12-15,Two-Way,2023-24,2023
Juan Toscano-Anderson,Mexico City Capitanes,Sacramento Kings,2023-12-15,Standard,2023-24,2023
Henri Drell,Windy City Bulls,Chicago Bulls,2023-12-16,Two-Way,2023-24,2023
Vit Krejci,Iowa Wolves,Atlanta Hawks,2023-12-22,Two-Way,2023-24,2023
Dmytro Skapintsev,Westchester Knicks,New York Knicks,2023-12-23,Two-Way,2023-24,2023
Brandon Williams,Osceola Magic,Orlando Magic,2023-12-28,Two-Way,2023-24,2023
Mamadi Diakite,Westchester Knicks,San Antonio Spurs,2024-01-02,Two-Way,2023-24,2023
Dylan Windler,Westchester Knicks,Los Angeles Lakers,2024-01-07,Two-Way,2023-24,2023
Jason Preston,Memphis Hustle,Utah Jazz,2024-01-09,Two-Way,2023-24,2023
Hamidou Diallo,Capital City Go-Go,Washington Wizards,2024-01-09,10-Day,2023-24,2023
Scotty Pippen Jr.,South Bay Lakers,Memphis Grizzlies,2024-01-16,Two-Way,2023-24,2023
Pete Nance,Cleveland Charge,Cleveland Cavaliers,2024-01-18,10-Day,2023-24,2023
Trey Jemison,Birmingham Squadron,Washington Wizards,2024-01-20,10-Day,2023-24,2023
Taze Moore,Rip City Remix,Portland Trail Blazers,2024-01-20,10-Day,2023-24,2023
Malcolm Hill,Birmingham Squadron,New Orleans Pelicans,2024-01-27,10-Day,2023-24,2023
Matt Hurt,Memphis Hustle,Memphis Grizzlies,2024-01-29,10-Day,2023-24,2023
Tosan Evbuomwan,Motor City Cruise,Memphis Grizzlies,2024-01-30,10-Day,2023-24,2023
Trey Jemison,Birmingham Squadron,Memphis Grizzlies,2024-01-30,10-Day,2023-24,2023
Ashton Hagans,Rip City Remix,Portland Trail Blazers,2024-02-08,10-Day,2023-24,2023
Alondes Williams,Sioux Falls Skyforce,Miami Heat,2024-02-09,Two-Way,2023-24,2023
Mason Jones,Stockton Kings,Sacramento Kings,2024-02-09,Two-Way,2023-24,2023
Justise Winslow,Raptors 905,Toronto Raptors,2024-02-10,10-Day,2023-24,2023
Mouhamadou Gueye,Raptors 905,Toronto Raptors,2024-02-10,10-Day,2023-24,2023
Zhaire Smith,Cleveland Charge,Cleveland Cavaliers,2024-02-11,10-Day,2023-24,2023
Adam Flagler,Oklahoma City Blue,Oklahoma City Thunder,2024-02-11,Two-Way,2023-24,2023
Tosan Evbuomwan,Motor City Cruise,Detroit Pistons,2024-02-12,10-Day,2023-24,2023
Pete Nance,Cleveland Charge,Cleveland Cavaliers,2024-02-19,Two-Way,2023-24,2023
Marques Bolden,Wisconsin Herd,Charlotte Hornets,2024-02-20,10-Day,2023-24,2023
Darius Bazley,Delaware Blue Coats,Philadelphia 76ers,2024-02-20,10-Day,2023-24,2023
DJ Carton,Iowa Wolves,Toronto Raptors,2024-02-21,10-Day,2023-24,2023
Jaylen Martin,Westchester Knicks,Brooklyn Nets,2024-02-21,Two-Way,2023-24,2023
DaQuan Jeffries,Westchester Knicks,New York Knicks,2024-02-22,10-Day,2023-24,2023
Justin Champagnie,Sioux Falls Skyforce,Washington Wizards,2024-02-22,10-Day,2023-24,2023
Pat Spencer,Santa Cruz Warriors,Golden State Warriors,2024-02-22,Two-Way,2023-24,2023
Malcolm Hill,Birmingham Squadron,New Orleans Pelicans,2024-02-22,Two-Way,2023-24,2023
Jalen Crutcher,Birmingham Squadron,New Orleans Pelicans,2024-02-22,10-Day,2023-24,2023
Justin Jackson,Texas Legends,Minnesota Timberwolves,2024-02-22,10-Day,2023-24,2023
Buddy Boeheim,Motor City Cruise,Detroit Pistons,2024-02-23,Two-Way,2023-24,2023
Ashton Hagans,Rip City Remix,Portland Trail Blazers,2024-02-24,Two-Way,2023-24,2023
Andrew Funk,Grand Rapids Gold,Chicago Bulls,2024-02-26,Two-Way,2023-24,2023
Matt Hurt,Memphis Hustle,Memphis Grizzlies,2024-02-26,10-Day,2023-24,2023
Sharife Cooper,Cleveland Charge,Cleveland Cavaliers,2024-02-26,10-Day,2023-24,2023
Jeff Dowtin Jr.,Delaware Blue Coats,Philadelphia 76ers,2024-03-02,Two-Way,2023-24,2023
RaiQuan Gray,Austin Spurs,San Antonio Spurs,2024-03-02,Two-Way,2023-24,2023
Jamaree Bouyea,Sioux Falls Skyforce,San Antonio Spurs,2024-03-02,Two-Way,2023-24,2023
Izaiah Brockington,Birmingham Squadron,New Orleans Pelicans,2024-03-03,10-Day,2023-24,2023
R.J. Hampton,Capital City Go-Go,Washington Wizards,2024-03-03,10-Day,2023-24,2023
Alex Fudge,South Bay Lakers,Dallas Mavericks,2024-03-04,Two-Way,2023-24,2023
Mouhamadou Gueye,Raptors 905,Toronto Raptors,2024-03-04,Two-Way,2023-24,2023
Quenton Jackson,Windy City Bulls,Indiana Pacers,2024-03-04,Two-Way,2023-24,2023
Jahmi'us Ramsey,Oklahoma City Blue,Toronto Raptors,2024-03-04,10-Day,2023-24,2023
Jacob Toppin,Westchester Knicks,New York Knicks,2024-03-05,Two-Way,2023-24,2023
Wenyen Gabriel,Wisconsin Herd,Memphis Grizzlies,2024-03-08,10-Day,2023-24,2023
Taevion Kinsey,Salt Lake City Stars,Utah Jazz,2024-03-09,10-Day,2023-24,2023
DeJon Jarreau,Memphis Hustle,Memphis Grizzlies,2024-03-10,10-Day,2023-24,2023
Darius Bazley,Delaware Blue Coats,Utah Jazz,2024-03-12,Standard,2023-24,2023
DaQuan Jeffries,Westchester Knicks,New York Knicks,2024-03-14,10-Day,2023-24,2023
Mamadi Diakite,Westchester Knicks,New York Knicks,2024-03-14,10-Day,2023-24,2023
Isaiah Thomas,Salt Lake City Stars,Phoenix Suns,2024-03-20,10-Day,2023-24,2023
Maozinha Pereira,Mexico City Capitanes,Memphis Grizzlies,2024-03-20,10-Day,2023-24,2023
Javonte Green,Santa Cruz Warriors,Chicago Bulls,2024-03-23,10-Day,2023-24,2023
D.J. Wilson,Osceola Magic,Philadelphia 76ers,2024-03-25,10-Day,2023-24,2023
Kobi Simmons,Raptors 905,Toronto Raptors,2024-03-25,10-Day,2023-24,2023
Zavier Simpson,Motor City Cruise,Memphis Grizzlies,2024-03-30,10-Day,2023-24,2023
Jaylen Nowell,Stockton Kings,Detroit Pistons,2024-04-03,10-Day,2023-24,2023
Malik Williams,Sioux Falls Skyforce,Toronto Raptors,2024-04-03,10-Day,2023-24,2023
Timmy Allen,Memphis Hustle,Memphis Grizzlies,2024-04-07,10-Day,2023-24,2023
Jack White,South Bay Lakers,Memphis Grizzlies,2024-04-10,10-Day,2023-24,2023
Taze Moore,Rip City Remix,Portland Trail Blazers,2024-04-14,Standard,2023-24,2023
