player_name,gleague_team,nba_team,callup_date,contract_type,season_label,season_year
Chaundee Brown Jr.,South Bay Lakers,Los Angeles Lakers,2021-11-16,Two-Way,2021-22,2021
Javonte Smart,Sioux Falls Skyforce,Milwaukee Bucks,2021-11-30,Two-Way,2021-22,2021
Gary Clark,Mexico City Capitanes,New Orleans Pelicans,2021-12-03,Standard,2021-22,2021
Davon Reed,Grand Rapids Gold,Denver Nuggets,2021-12-04,10-Day,2021-22,2021
Stanley Johnson,South Bay Lakers,Chicago Bulls,2021-12-09,10-Day,2021-22,2021
Alfonso McKinnie,Mexico City Capitanes,Chicago Bulls,2021-12-10,10-Day,2021-22,2021
Terry Taylor,Fort Wayne Mad Ants,Indiana Pacers,2021-12-15,Two-Way,2021-22,2021
Langston Galloway,College Park Skyhawks,Brooklyn Nets,2021-12-16,10-Day,2021-22,2021
Aleem Ford,Lakeland Magic,Orlando Magic,2021-12-17,10-Day,2021-22,2021
B.J. Johnson,Lakeland Magic,Orlando Magic,2021-12-17,10-Day,2021-22,2021
Hassani Gravett,Lakeland Magic,Orlando Magic,2021-12-17,10-Day,2021-22,2021
Admiral Schofield,Lakeland Magic,Orlando Magic,2021-12-17,10-Day,2021-22,2021
Isaiah Thomas,Grand Rapids Gold,Los Angeles Lakers,2021-12-17,10-Day,2021-22,2021
Trevelin Queen,Rio Grande Valley Vipers,Houston Rockets,2021-12-18,Two-Way,2021-22,2021
Tyler Hall,Westchester Knicks,New York Knicks,2021-12-18,10-Day,2021-22,2021
Justin Jackson,Texas Legends,Boston Celtics,2021-12-18,10-Day,2021-22,2021
Davon Reed,Grand Rapids Gold,Denver Nuggets,2021-12-19,10-Day,2021-22,2021
Shaquille Harrison,Delaware Blue Coats,Brooklyn Nets,2021-12-19,10-Day,2021-22,2021
Myles Powell,Westchester Knicks,Philadelphia 76ers,2021-12-19,Two-Way,2021-22,2021
Theo Pinson,Maine Celtics,Dallas Mavericks,2021-12-20,10-Day,2021-22,2021
C.J. Miles,G League Ignite,Boston Celtics,2021-12-20,10-Day,2021-22,2021
Damyean Dotson,Austin Spurs,New York Knicks,2021-12-21,10-Day,2021-22,2021
Matt Mooney,Mexico City Capitanes,New York Knicks,2021-12-21,10-Day,2021-22,2021
