Date,Player,Active,Team,Type,date,season,player_name,nba_team,contract_type
04/03/24,"Nowell, Jaylen",,Detroit Pistons,Two 10-day contracts (only 1st date is shown),2024-04-03,2023-24,"Nowell, Jaylen",Detroit Pistons,Two 10-day contracts (only 1st date is shown)
04/03/24,"Williams, Malik",,Toronto Raptors,10-day contract followed by signing for the rest of season,2024-04-03,2023-24,"Williams, Malik",Toronto Raptors,10-day contract followed by signing for the rest of season
03/30/24,"Simpson, Zavier",,Memphis Grizzlies,Two 10-day contracts (only 1st date is shown),2024-03-30,2023-24,"Simpson, Zavier",Memphis Grizzlies,Two 10-day contracts (only 1st date is shown)
03/24/24,"Wilson, D.J.",,Philadelphia 76ers,10-day contract,2024-03-24,2023-24,"Wilson, D.J.",Philadelphia 76ers,10-day contract
03/24/24,"Simmons, Kobi",,Toronto Raptors,10-day contract,2024-03-24,2023-24,"Simmons, Kobi",Toronto Raptors,10-day contract
03/23/24,"Green, Javonte",,Chicago Bulls,10-day contract followed by signing for the rest of season,2024-03-23,2023-24,"Green, Javonte",Chicago Bulls,10-day contract followed by signing for the rest of season
03/20/24,"Pereira, Maozinha",,Memphis Grizzlies,Two 10-day contracts (only 1st date is shown),2024-03-20,2023-24,"Pereira, Maozinha",Memphis Grizzlies,Two 10-day contracts (only 1st date is shown)
03/20/24,"Thomas, Isaiah",,Phoenix Suns,Two 10-day contracts followed by signing for the rest of season,2024-03-20,2023-24,"Thomas, Isaiah",Phoenix Suns,Two 10-day contracts followed by signing for the rest of season
03/20/24,"Metu, Chimezie",,Detroit Pistons,10-day contract followed by signing for the rest of season,2024-03-20,2023-24,"Metu, Chimezie",Detroit Pistons,10-day contract followed by signing for the rest of season
03/18/24,"Morris, Marcus",,Cleveland Cavaliers,10-day contract followed by signing for the rest of season,2024-03-18,2023-24,"Morris, Marcus",Cleveland Cavaliers,10-day contract followed by signing for the rest of season
03/15/24,"Jones, Kai",,Philadelphia 76ers,10-day contract,2024-03-15,2023-24,"Jones, Kai",Philadelphia 76ers,10-day contract
03/14/24,"Diakite, Mamadi",,New York Knicks,10-day contract followed by signing for the rest of season,2024-03-14,2023-24,"Diakite, Mamadi",New York Knicks,10-day contract followed by signing for the rest of season
03/10/24,"Jarreau, DeJon",,Memphis Grizzlies,Two 10-day contracts (only 1st date is shown),2024-03-10,2023-24,"Jarreau, DeJon",Memphis Grizzlies,Two 10-day contracts (only 1st date is shown)
03/09/24,"Kinsey, Taevion",,Utah Jazz,10-day contract,2024-03-09,2023-24,"Kinsey, Taevion",Utah Jazz,10-day contract
03/08/24,"Gabriel, Wenyen",,Memphis Grizzlies,10-day contract,2024-03-08,2023-24,"Gabriel, Wenyen",Memphis Grizzlies,10-day contract
03/06/24,"Gibson, Taj",,Detroit Pistons,10-day contract followed by signing for the rest of season,2024-03-06,2023-24,"Gibson, Taj",Detroit Pistons,10-day contract followed by signing for the rest of season
03/06/24,"Warren, T.J.",,Minnesota Timberwolves,Two 10-day contracts (only 1st date is shown),2024-03-06,2023-24,"Warren, T.J.",Minnesota Timberwolves,Two 10-day contracts (only 1st date is shown)
03/04/24,"Ramsey, Jahmi'us",,Toronto Raptors,Two 10-day contracts (only 1st date is shown),2024-03-04,2023-24,"Ramsey, Jahmi'us",Toronto Raptors,Two 10-day contracts (only 1st date is shown)
03/03/24,"Hampton, R.J.",,Washington Wizards,10-day contract,2024-03-03,2023-24,"Hampton, R.J.",Washington Wizards,10-day contract
03/03/24,"Brockington, Izaiah",,New Orleans Pelicans,10-day contract,2024-03-03,2023-24,"Brockington, Izaiah",New Orleans Pelicans,10-day contract
02/26/24,"Cooper, Sharife",,Cleveland Cavaliers,10-day contract,2024-02-26,2023-24,"Cooper, Sharife",Cleveland Cavaliers,10-day contract
02/22/24,"Champagnie, Justin",,Washington Wizards,10-day contract,2024-02-22,2023-24,"Champagnie, Justin",Washington Wizards,10-day contract
02/22/24,"Crutcher, Jalen",,New Orleans Pelicans,10-day contract,2024-02-22,2023-24,"Crutcher, Jalen",New Orleans Pelicans,10-day contract
02/22/24,"Jackson, Justin",,Minnesota Timberwolves,10-day contract,2024-02-22,2023-24,"Jackson, Justin",Minnesota Timberwolves,10-day contract
02/22/24,"Jeffries, DaQuan",,New York Knicks,Two 10-day contracts followed by signing for the rest of season,2024-02-22,2023-24,"Jeffries, DaQuan",New York Knicks,Two 10-day contracts followed by signing for the rest of season
02/21/24,"Carton, D.J.",,Toronto Raptors,10-day contract,2024-02-21,2023-24,"Carton, D.J.",Toronto Raptors,10-day contract
02/21/24,"Toppin, Jacob",,New York Knicks,10-day contract,2024-02-21,2023-24,"Toppin, Jacob",New York Knicks,10-day contract
02/20/24,"Bazley, Darius",,Philadelphia 76ers,10-day contract,2024-02-20,2023-24,"Bazley, Darius",Philadelphia 76ers,10-day contract
02/20/24,"Bolden, Marques",,Charlotte Hornets,10-day contract,2024-02-20,2023-24,"Bolden, Marques",Charlotte Hornets,10-day contract
02/13/24,"Goodwin, Jordan",,Memphis Grizzlies,10-day contract,2024-02-13,2023-24,"Goodwin, Jordan",Memphis Grizzlies,10-day contract
02/12/24,"Evbuomwan, Tosan",,Detroit Pistons,10-day contract,2024-02-12,2023-24,"Evbuomwan, Tosan",Detroit Pistons,10-day contract
02/11/24,"Smith, Zhaire",,Cleveland Cavaliers,10-day contract,2024-02-11,2023-24,"Smith, Zhaire",Cleveland Cavaliers,10-day contract
02/10/24,"Gueye, Mouhamadou",,Toronto Raptors,10-day contract,2024-02-10,2023-24,"Gueye, Mouhamadou",Toronto Raptors,10-day contract
02/10/24,"Winslow, Justise",,Toronto Raptors,10-day contract,2024-02-10,2023-24,"Winslow, Justise",Toronto Raptors,10-day contract
02/08/24,"Hagans, Ashton",,Portland Trail Blazers,10-day contract,2024-02-08,2023-24,"Hagans, Ashton",Portland Trail Blazers,10-day contract
01/30/24,"Evbuomwan, Tosan",,Memphis Grizzlies,10-day contract,2024-01-30,2023-24,"Evbuomwan, Tosan",Memphis Grizzlies,10-day contract
01/30/24,"Jemison, Trey",,Memphis Grizzlies,10-day contract,2024-01-30,2023-24,"Jemison, Trey",Memphis Grizzlies,10-day contract
01/30/24,"Gibson, Taj",,New York Knicks,Two 10-day contracts (only 1st date is shown),2024-01-30,2023-24,"Gibson, Taj",New York Knicks,Two 10-day contracts (only 1st date is shown)
01/29/24,"Hurt, Matthew",,Memphis Grizzlies,Two 10-day contracts (only 1st date is shown),2024-01-29,2023-24,"Hurt, Matthew",Memphis Grizzlies,Two 10-day contracts (only 1st date is shown)
01/27/24,"Hill, Malcolm",,New Orleans Pelicans,10-day contract,2024-01-27,2023-24,"Hill, Malcolm",New Orleans Pelicans,10-day contract
01/20/24,"Jemison, Trey",,Washington Wizards,10-day contract,2024-01-20,2023-24,"Jemison, Trey",Washington Wizards,10-day contract
01/20/24,"Moore, Taze",,Portland Trail Blazers,Two 10-day contracts (only 1st date is shown),2024-01-20,2023-24,"Moore, Taze",Portland Trail Blazers,Two 10-day contracts (only 1st date is shown)
01/19/24,"Johnson, James",,Indiana Pacers,Two 10-day contracts followed by signing for the rest of season,2024-01-19,2023-24,"Johnson, James",Indiana Pacers,Two 10-day contracts followed by signing for the rest of season
01/18/24,"Nance, Pete",,Cleveland Cavaliers,10-day contract,2024-01-18,2023-24,"Nance, Pete",Cleveland Cavaliers,10-day contract
01/09/24,"Toscano-Anderson, Juan",,Sacramento Kings,10-day contract,2024-01-09,2023-24,"Toscano-Anderson, Juan",Sacramento Kings,10-day contract
01/09/24,"Diallo, Hamidou",,Washington Wizards,10-day contract,2024-01-09,2023-24,"Diallo, Hamidou",Washington Wizards,10-day contract
11/24/23,"Nowell, Jaylen",,Memphis Grizzlies,Two 10-day contracts (only 1st date is shown),2023-11-24,2023-24,"Nowell, Jaylen",Memphis Grizzlies,Two 10-day contracts (only 1st date is shown)
11/24/23,"Harrison, Shaquille",,Memphis Grizzlies,10-day contract,2023-11-24,2023-24,"Harrison, Shaquille",Memphis Grizzlies,10-day contract
04/09/23,"Comanche, Chance",,Portland Trail Blazers,10-day contract,2023-04-09,2022-23,"Comanche, Chance",Portland Trail Blazers,10-day contract
04/04/23,"Minaya, Justin",,Portland Trail Blazers,10-day contract,2023-04-04,2022-23,"Minaya, Justin",Portland Trail Blazers,10-day contract
03/30/23,"Mays, Skylar",,Portland Trail Blazers,Two 10-day contracts (only 1st date is shown),2023-03-30,2022-23,"Mays, Skylar",Portland Trail Blazers,Two 10-day contracts (only 1st date is shown)
03/30/23,"Harrison, Shaquille",,Portland Trail Blazers,10-day contract,2023-03-30,2022-23,"Harrison, Shaquille",Portland Trail Blazers,10-day contract
03/28/23,"Sneed, Xavier",,Charlotte Hornets,10-day contract,2023-03-28,2022-23,"Sneed, Xavier",Charlotte Hornets,10-day contract
03/28/23,"Samanic, Luka",,Utah Jazz,10-day contract followed by signing for the rest of season,2023-03-28,2022-23,"Samanic, Luka",Utah Jazz,10-day contract followed by signing for the rest of season
03/18/23,"Brantley, Jarrell",,Utah Jazz,10-day contract,2023-03-18,2022-23,"Brantley, Jarrell",Utah Jazz,10-day contract
03/17/23,"Brown, Moses",,Brooklyn Nets,Two 10-day contracts (only 1st date is shown),2023-03-17,2022-23,"Brown, Moses",Brooklyn Nets,Two 10-day contracts (only 1st date is shown)
03/06/23,"Noel, Nerlens",,Brooklyn Nets,10-day contract,2023-03-06,2022-23,"Noel, Nerlens",Brooklyn Nets,10-day contract
03/05/23,"Jeffries, DaQuan",,New York Knicks,Two 10-day contracts followed by signing for the rest of season,2023-03-05,2022-23,"Jeffries, DaQuan",New York Knicks,Two 10-day contracts followed by signing for the rest of season
03/03/23,"Omoruyi, Eugene",,Detroit Pistons,Two 10-day contracts followed by signing for the rest of season,2023-03-03,2022-23,"Omoruyi, Eugene",Detroit Pistons,Two 10-day contracts followed by signing for the rest of season
03/03/23,"Merrill, Sam",,Cleveland Cavaliers,10-day contract followed by signing for the rest of season,2023-03-03,2022-23,"Merrill, Sam",Cleveland Cavaliers,10-day contract followed by signing for the rest of season
03/03/23,"Bouyea, Jamaree",,Washington Wizards,10-day contract,2023-03-03,2022-23,"Bouyea, Jamaree",Washington Wizards,10-day contract
03/02/23,"Quinones, Lester",,Golden State Warriors,10-day contract,2023-03-02,2022-23,"Quinones, Lester",Golden State Warriors,10-day contract
02/27/23,"Cauley-Stein, Willie",,Houston Rockets,10-day contract,2023-02-27,2022-23,"Cauley-Stein, Willie",Houston Rockets,10-day contract
02/23/23,"Keels, Trevor",,New York Knicks,10-day contract,2023-02-23,2022-23,"Keels, Trevor",New York Knicks,10-day contract
02/22/23,"Leonard, Meyers",,Milwaukee Bucks,Two 10-day contracts followed by signing for the rest of season,2023-02-22,2022-23,"Leonard, Meyers",Milwaukee Bucks,Two 10-day contracts followed by signing for the rest of season
02/22/23,"Dunn, Kris",,Utah Jazz,Two 10-day contracts followed by signing for the rest of season,2023-02-22,2022-23,"Dunn, Kris",Utah Jazz,Two 10-day contracts followed by signing for the rest of season
02/22/23,"Jackson, Frank",,Utah Jazz,10-day contract,2023-02-22,2022-23,"Jackson, Frank",Utah Jazz,10-day contract
02/10/23,"Umude, Stanley",,Detroit Pistons,10-day contract,2023-02-10,2022-23,"Umude, Stanley",Detroit Pistons,10-day contract
02/08/23,"Bouyea, Jamaree",,Miami Heat,10-day contract,2023-02-08,2022-23,"Bouyea, Jamaree",Miami Heat,10-day contract
01/31/23,"Silva, Chris",,Dallas Mavericks,Two 10-day contracts (only 1st date is shown),2023-01-31,2022-23,"Silva, Chris",Dallas Mavericks,Two 10-day contracts (only 1st date is shown)
01/30/23,"Burton, Deonte",,Sacramento Kings,10-day contract,2023-01-30,2022-23,"Burton, Deonte",Sacramento Kings,10-day contract
01/11/23,"Favors, Derrick",,Atlanta Hawks,10-day contract,2023-01-11,2022-23,"Favors, Derrick",Atlanta Hawks,10-day contract
01/11/23,"Lee, Saben",,Phoenix Suns,Two 10-day contracts (only 1st date is shown),2023-01-11,2022-23,"Lee, Saben",Phoenix Suns,Two 10-day contracts (only 1st date is shown)
01/09/23,"Dozier, P.J.",,Sacramento Kings,Two 10-day contracts followed by signing for the rest of season,2023-01-09,2022-23,"Dozier, P.J.",Sacramento Kings,Two 10-day contracts followed by signing for the rest of season
01/08/23,"Dieng, Gorgui",,San Antonio Spurs,Two 10-day contracts followed by signing for the rest of season,2023-01-08,2022-23,"Dieng, Gorgui",San Antonio Spurs,Two 10-day contracts followed by signing for the rest of season
01/07/23,"Wieskamp, Joe",,Toronto Raptors,Two 10-day contracts followed by signing for the rest of season,2023-01-07,2022-23,"Wieskamp, Joe",Toronto Raptors,Two 10-day contracts followed by signing for the rest of season
01/06/23,"Brown, Sterling",,Los Angeles Lakers,10-day contract,2023-01-06,2022-23,"Brown, Sterling",Los Angeles Lakers,10-day contract
04/04/22,"Kalaitzakis, Georgios",,Oklahoma City Thunder,10-day contract,2022-04-04,2021-22,"Kalaitzakis, Georgios",Oklahoma City Thunder,10-day contract
04/04/22,"Simpson, Zavier",,Oklahoma City Thunder,10-day contract,2022-04-04,2021-22,"Simpson, Zavier",Oklahoma City Thunder,10-day contract
03/31/22,"Cannady, Devin",,Orlando Magic,10-day contract followed by signing for the rest of season,2022-03-31,2021-22,"Cannady, Devin",Orlando Magic,10-day contract followed by signing for the rest of season
03/28/22,"Monroe, Greg",,Utah Jazz,10-day contract,2022-03-28,2021-22,"Monroe, Greg",Utah Jazz,10-day contract
03/28/22,"Morgan, Juwan",,Boston Celtics,10-day contract followed by signing for the rest of season,2022-03-28,2021-22,"Morgan, Juwan",Boston Celtics,10-day contract followed by signing for the rest of season
03/24/22,"Key, Braxton",,Detroit Pistons,10-day contract,2022-03-24,2021-22,"Key, Braxton",Detroit Pistons,10-day contract
03/22/22,"Dowtin, Jeff",,Orlando Magic,10-day contract,2022-03-22,2021-22,"Dowtin, Jeff",Orlando Magic,10-day contract
03/14/22,"Dunn, Kris",,Portland Trail Blazers,Three or more 10-day contracts (only 1st date is shown),2022-03-14,2021-22,"Dunn, Kris",Portland Trail Blazers,Three or more 10-day contracts (only 1st date is shown)
03/11/22,"Wallace, Tyrone",,New Orleans Pelicans,Two 10-day contracts (only 1st date is shown),2022-03-11,2021-22,"Wallace, Tyrone",New Orleans Pelicans,Two 10-day contracts (only 1st date is shown)
03/10/22,"Brown, Moses",,Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown),2022-03-10,2021-22,"Brown, Moses",Cleveland Cavaliers,Two 10-day contracts (only 1st date is shown)
03/06/22,"Brooks, Armoni",,Toronto Raptors,Two 10-day contracts followed by signing for the rest of season,2022-03-06,2021-22,"Brooks, Armoni",Toronto Raptors,Two 10-day contracts followed by signing for the rest of season
03/02/22,"Thomas, Isaiah",,Charlotte Hornets,Two 10-day contracts followed by signing for the rest of season,2022-03-02,2021-22,"Thomas, Isaiah",Charlotte Hornets,Two 10-day contracts followed by signing for the rest of season
03/02/22,"Johnson, Alize",,New Orleans Pelicans,Two 10-day contracts (only 1st date is shown),2022-03-02,2021-22,"Johnson, Alize",New Orleans Pelicans,Two 10-day contracts (only 1st date is shown)
02/26/22,"Frazier, Tim",,Cleveland Cavaliers,10-day contract,2022-02-26,2021-22,"Frazier, Tim",Cleveland Cavaliers,10-day contract
02/24/22,"Cauley-Stein, Willie",,Philadelphia 76ers,10-day contract,2022-02-24,2021-22,"Cauley-Stein, Willie",Philadelphia 76ers,10-day contract
02/23/22,"Martin, Kelan",,Boston Celtics,Two 10-day contracts (only 1st date is shown),2022-02-23,2021-22,"Martin, Kelan",Boston Celtics,Two 10-day contracts (only 1st date is shown)
02/23/22,"Fitts, Malik",,Boston Celtics,Two 10-day contracts followed by signing for the rest of season,2022-02-23,2021-22,"Fitts, Malik",Boston Celtics,Two 10-day contracts followed by signing for the rest of season
02/22/22,"Eubanks, Drew",,Portland Trail Blazers,Three or more 10-day contracts (only 1st date is shown),2022-02-22,2021-22,"Eubanks, Drew",Portland Trail Blazers,Three or more 10-day contracts (only 1st date is shown)
02/05/22,"Monroe, Greg",,Milwaukee Bucks,10-day contract,2022-02-05,2021-22,"Monroe, Greg",Milwaukee Bucks,10-day contract
02/04/22,"Perry, Reggie",,Indiana Pacers,10-day contract,2022-02-04,2021-22,"Perry, Reggie",Indiana Pacers,10-day contract
02/04/22,"Cheatham, Zylan",,New Orleans Pelicans,10-day contract,2022-02-04,2021-22,"Cheatham, Zylan",New Orleans Pelicans,10-day contract
02/04/22,"Oni, Miye",,New Orleans Pelicans,10-day contract,2022-02-04,2021-22,"Oni, Miye",New Orleans Pelicans,10-day contract
01/28/22,"Gabriel, Wenyen",,New Orleans Pelicans,10-day contract,2022-01-28,2021-22,"Gabriel, Wenyen",New Orleans Pelicans,10-day contract
01/21/22,"Cousins, DeMarcus",,Denver Nuggets,Three or more 10-day contracts followed by signing for the rest of season,2022-01-21,2021-22,"Cousins, DeMarcus",Denver Nuggets,Three or more 10-day contracts followed by signing for the rest of season
01/19/22,"Harrison, Shaquille",,Memphis Grizzlies,10-day contract,2022-01-19,2021-22,"Harrison, Shaquille",Memphis Grizzlies,10-day contract
01/14/22,"Hill, Malcolm",,Chicago Bulls,10-day contract,2022-01-14,2021-22,"Hill, Malcolm",Chicago Bulls,10-day contract
01/12/22,"Cheatham, Zylan",,Utah Jazz,10-day contract,2022-01-12,2021-22,"Cheatham, Zylan",Utah Jazz,10-day contract
01/11/22,"Diakite, Mamadi",,Oklahoma City Thunder,Three or more 10-day contracts (only 1st date is shown),2022-01-11,2021-22,"Diakite, Mamadi",Oklahoma City Thunder,Three or more 10-day contracts (only 1st date is shown)
01/10/22,"Ennis, James",,Denver Nuggets,10-day contract,2022-01-10,2021-22,"Ennis, James",Denver Nuggets,10-day contract
01/10/22,"Valentine, Denzel",,Utah Jazz,10-day contract,2022-01-10,2021-22,"Valentine, Denzel",Utah Jazz,10-day contract
01/07/22,"Dowtin, Jeff",,Milwaukee Bucks,10-day contract,2022-01-07,2021-22,"Dowtin, Jeff",Milwaukee Bucks,10-day contract
01/07/22,"Pelle, Norvel",,Utah Jazz,10-day contract,2022-01-07,2021-22,"Pelle, Norvel",Utah Jazz,10-day contract
01/07/22,"Galloway, Langston",,Milwaukee Bucks,10-day contract,2022-01-07,2021-22,"Galloway, Langston",Milwaukee Bucks,10-day contract
01/06/22,"Monroe, Greg",,Washington Wizards,10-day contract,2022-01-06,2021-22,"Monroe, Greg",Washington Wizards,10-day contract
01/06/22,"House, Danuel",,Utah Jazz,Three or more 10-day contracts followed by signing for the rest of season,2022-01-06,2021-22,"House, Danuel",Utah Jazz,Three or more 10-day contracts followed by signing for the rest of season
01/06/22,"Johnson, Tyler",,San Antonio Spurs,10-day contract,2022-01-06,2021-22,"Johnson, Tyler",San Antonio Spurs,10-day contract
01/06/22,"Lamb, Anthony",,San Antonio Spurs,10-day contract,2022-01-06,2021-22,"Lamb, Anthony",San Antonio Spurs,10-day contract
01/06/22,"Arcidiacono, Ryan",,New York Knicks,Two 10-day contracts (only 1st date is shown),2022-01-06,2021-22,"Arcidiacono, Ryan",New York Knicks,Two 10-day contracts (only 1st date is shown)
01/05/22,"Key, Braxton",,Philadelphia 76ers,10-day contract,2022-01-05,2021-22,"Key, Braxton",Philadelphia 76ers,10-day contract
01/04/22,"Jackson, Justin",,Phoenix Suns,Two 10-day contracts (only 1st date is shown),2022-01-04,2021-22,"Jackson, Justin",Phoenix Suns,Two 10-day contracts (only 1st date is shown)
01/03/22,"Brown, Charlie",,Philadelphia 76ers,10-day contract,2022-01-03,2021-22,"Brown, Charlie",Philadelphia 76ers,10-day contract
01/03/22,"Teske, Jon",,Memphis Grizzlies,10-day contract,2022-01-03,2021-22,"Teske, Jon",Memphis Grizzlies,10-day contract
01/03/22,"Kornet, Luke",,Milwaukee Bucks,10-day contract,2022-01-03,2021-22,"Kornet, Luke",Milwaukee Bucks,10-day contract
01/01/22,"Morris, Jaylen",,San Antonio Spurs,10-day contract,2022-01-01,2021-22,"Morris, Jaylen",San Antonio Spurs,10-day contract
01/01/22,"Jones, Carlik",,Denver Nuggets,10-day contract,2022-01-01,2021-22,"Jones, Carlik",Denver Nuggets,10-day contract
01/01/22,"Waters, Tremont",,Washington Wizards,10-day contract,2022-01-01,2021-22,"Waters, Tremont",Washington Wizards,10-day contract
01/01/22,"Biyombo, Bismack",,Phoenix Suns,10-day contract,2022-01-01,2021-22,"Biyombo, Bismack",Phoenix Suns,10-day contract
01/01/22,"Anderson, Justin",,Indiana Pacers,Three or more 10-day contracts (only 1st date is shown),2022-01-01,2021-22,"Anderson, Justin",Indiana Pacers,Three or more 10-day contracts (only 1st date is shown)
01/01/22,"Stephenson, Lance",,Indiana Pacers,Three or more 10-day contracts followed by signing for the rest of season,2022-01-01,2021-22,"Stephenson, Lance",Indiana Pacers,Three or more 10-day contracts followed by signing for the rest of season
01/01/22,"Jeffries, DaQuan",,Memphis Grizzlies,10-day contract,2022-01-01,2021-22,"Jeffries, DaQuan",Memphis Grizzlies,10-day contract
12/31/21,"Paige, Jaysean",,Detroit Pistons,10-day contract,2021-12-31,2021-22,"Paige, Jaysean",Detroit Pistons,10-day contract
12/31/21,"Tucker, Rayjon",,Denver Nuggets,10-day contract,2021-12-31,2021-22,"Tucker, Rayjon",Denver Nuggets,10-day contract
12/31/21,"Caver, Ahmad",,Indiana Pacers,10-day contract,2021-12-31,2021-22,"Caver, Ahmad",Indiana Pacers,10-day contract
12/31/21,"Gabriel, Wenyen",,Los Angeles Clippers,Two 10-day contracts (only 1st date is shown),2021-12-31,2021-22,"Gabriel, Wenyen",Los Angeles Clippers,Two 10-day contracts (only 1st date is shown)
12/31/21,"Silva, Chris",,Miami Heat,Three or more 10-day contracts (only 1st date is shown),2021-12-31,2021-22,"Silva, Chris",Miami Heat,Three or more 10-day contracts (only 1st date is shown)
12/31/21,"Stauskas, Nik",,Miami Heat,10-day contract,2021-12-31,2021-22,"Stauskas, Nik",Miami Heat,10-day contract
12/31/21,"Goodwin, Brandon",,Cleveland Cavaliers,10-day contract,2021-12-31,2021-22,"Goodwin, Brandon",Cleveland Cavaliers,10-day contract
12/31/21,"Bass, Paris",,Phoenix Suns,Two 10-day contracts (only 1st date is shown),2021-12-31,2021-22,"Bass, Paris",Phoenix Suns,Two 10-day contracts (only 1st date is shown)
12/31/21,"Chalmers, Mario",,Miami Heat,10-day contract,2021-12-31,2021-22,"Chalmers, Mario",Miami Heat,10-day contract
12/30/21,"Highsmith, Haywood",,Miami Heat,Three or more 10-day contracts followed by signing for the rest of season,2021-12-30,2021-22,"Highsmith, Haywood",Miami Heat,Three or more 10-day contracts followed by signing for the rest of season
12/30/21,"Walker, M.J.",,Phoenix Suns,10-day contract,2021-12-30,2021-22,"Walker, M.J.",Phoenix Suns,10-day contract
12/30/21,"Bell, Jordan",,Chicago Bulls,10-day contract,2021-12-30,2021-22,"Bell, Jordan",Chicago Bulls,10-day contract
12/30/21,"Echenique, Jaime",,Washington Wizards,10-day contract,2021-12-30,2021-22,"Echenique, Jaime",Washington Wizards,10-day contract
12/30/21,"Hinton, Nate",,Indiana Pacers,10-day contract,2021-12-30,2021-22,"Hinton, Nate",Indiana Pacers,10-day contract
12/30/21,"Holman, Aric",,Miami Heat,10-day contract,2021-12-30,2021-22,"Holman, Aric",Miami Heat,10-day contract
12/30/21,"Guy, Kyle",,Miami Heat,Two 10-day contracts (only 1st date is shown),2021-12-30,2021-22,"Guy, Kyle",Miami Heat,Two 10-day contracts (only 1st date is shown)
12/30/21,"Mathias, Dakota",,Memphis Grizzlies,Two 10-day contracts (only 1st date is shown),2021-12-30,2021-22,"Mathias, Dakota",Memphis Grizzlies,Two 10-day contracts (only 1st date is shown)
12/29/21,"Clemons, Chris",,Atlanta Hawks,10-day contract,2021-12-29,2021-22,"Clemons, Chris",Atlanta Hawks,10-day contract
12/29/21,"Oliver, Cameron",,Atlanta Hawks,10-day contract,2021-12-29,2021-22,"Oliver, Cameron",Atlanta Hawks,10-day contract
12/29/21,"Newman, Malik",,Cleveland Cavaliers,10-day contract,2021-12-29,2021-22,"Newman, Malik",Cleveland Cavaliers,10-day contract
12/29/21,"Ennis, James",,Los Angeles Clippers,10-day contract,2021-12-29,2021-22,"Ennis, James",Los Angeles Clippers,10-day contract
12/29/21,"Hoard, Jaylen",,Oklahoma City Thunder,Two 10-day contracts (only 1st date is shown),2021-12-29,2021-22,"Hoard, Jaylen",Oklahoma City Thunder,Two 10-day contracts (only 1st date is shown)
12/29/21,"Potter, Micah",,Detroit Pistons,10-day contract,2021-12-29,2021-22,"Potter, Micah",Detroit Pistons,10-day contract
12/29/21,"Wanamaker, Brad",,Washington Wizards,10-day contract,2021-12-29,2021-22,"Wanamaker, Brad",Washington Wizards,10-day contract
12/29/21,"Thomas, Isaiah",,Dallas Mavericks,10-day contract,2021-12-29,2021-22,"Thomas, Isaiah",Dallas Mavericks,10-day contract
12/28/21,"Palmer, Trayvon",,Detroit Pistons,10-day contract,2021-12-28,2021-22,"Palmer, Trayvon",Detroit Pistons,10-day contract
12/28/21,"Jarreau, DeJon",,Houston Rockets,10-day contract,2021-12-28,2021-22,"Jarreau, DeJon",Houston Rockets,10-day contract
12/28/21,"Hunt, Feron",,New Orleans Pelicans,10-day contract,2021-12-28,2021-22,"Hunt, Feron",New Orleans Pelicans,10-day contract
12/28/21,"Johnson, Alize",,Washington Wizards,10-day contract,2021-12-28,2021-22,"Johnson, Alize",Washington Wizards,10-day contract
12/28/21,"Robinson, Justin",,Detroit Pistons,10-day contract,2021-12-28,2021-22,"Robinson, Justin",Detroit Pistons,10-day contract
12/28/21,"Sword, Craig",,Washington Wizards,10-day contract,2021-12-28,2021-22,"Sword, Craig",Washington Wizards,10-day contract
12/28/21,"Tillman, Justin",,Atlanta Hawks,10-day contract,2021-12-28,2021-22,"Tillman, Justin",Atlanta Hawks,10-day contract
12/28/21,"Perry, Reggie",,Portland Trail Blazers,Three or more 10-day contracts (only 1st date is shown),2021-12-28,2021-22,"Perry, Reggie",Portland Trail Blazers,Three or more 10-day contracts (only 1st date is shown)
12/27/21,"Brown, Chaundee",,Atlanta Hawks,10-day contract,2021-12-27,2021-22,"Brown, Chaundee",Atlanta Hawks,10-day contract
12/27/21,"Goodwin, Jordan",,Washington Wizards,10-day contract,2021-12-27,2021-22,"Goodwin, Jordan",Washington Wizards,10-day contract
12/27/21,"Monroe, Greg",,Minnesota Timberwolves,10-day contract,2021-12-27,2021-22,"Monroe, Greg",Minnesota Timberwolves,10-day contract
12/27/21,"Terry, Emanuel",,Phoenix Suns,10-day contract,2021-12-27,2021-22,"Terry, Emanuel",Phoenix Suns,10-day contract
12/27/21,"Edwards, Rob",,Oklahoma City Thunder,10-day contract,2021-12-27,2021-22,"Edwards, Rob",Oklahoma City Thunder,10-day contract
12/27/21,"Hopson, Scotty",,Oklahoma City Thunder,10-day contract,2021-12-27,2021-22,"Hopson, Scotty",Oklahoma City Thunder,10-day contract
12/27/21,"Sarr, Olivier",,Oklahoma City Thunder,Two 10-day contracts (only 1st date is shown),2021-12-27,2021-22,"Sarr, Olivier",Oklahoma City Thunder,Two 10-day contracts (only 1st date is shown)
12/27/21,"Sneed, Xavier",,Memphis Grizzlies,10-day contract,2021-12-27,2021-22,"Sneed, Xavier",Memphis Grizzlies,10-day contract
12/26/21,"McGriff, Cameron",,Portland Trail Blazers,10-day contract,2021-12-26,2021-22,"McGriff, Cameron",Portland Trail Blazers,10-day contract
12/26/21,"Williams, Brandon",,Portland Trail Blazers,10-day contract,2021-12-26,2021-22,"Williams, Brandon",Portland Trail Blazers,10-day contract
