team_id,team_name,player_id,player_name,position
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,0039617f-5e20-4c83-a324-da7321514927,Viktor Lakhin,C
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,01830f03-cbe5-4cc9-8696-03df11438921,Jazian Gortman,G
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,28517bbb-e854-4177-9cb0-b3d60e27b658,Payton Sandfort,F
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,3e0258fd-74cd-4150-a990-ad10ab569ab8,Cameron Brown,F
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,53597494-78f8-44e5-afe0-1059670f941b,Brooks Barnhizer,G
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,b2469fa3-64e1-48c7-b620-eca1740dfd6a,Chris Youngblood,G
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,b5e38bf2-0ff7-4d5d-b5f3-b44ff792a0ea,Anthony Pritchard,G
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,b7d49d29-5243-48a1-8dae-246a9e221b24,Kendall Munson,F
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,c44907d4-1082-4bbf-8883-47cbdfff4dcd,Malevy Leons,F
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,dae289ed-2be3-40fb-83bd-5071b6f677b1,Branden Carlson,C
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,e4a5c081-0527-41af-bace-caa3ffd94c45,Dariq Whitehead,F
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,ee9ca067-45f4-4a32-99fd-a1b35c322725,Zack Austin,G
035ebd2d-69d9-4d73-a4b3-519f78071975,Oklahoma City Blue,f97a592a-ac33-488d-9df4-909899fa5e79,Buddy Boeheim,F
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,13fd950f-cdcc-4870-aae4-e4ed6d9dd28a,Augustas Marčiulionis,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,32910f1d-edfc-4ecc-b711-6aeb07bd2586,Nick Smith Jr.,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,32c03673-0dc7-42a3-8371-9769884a7276,R.J. Davis,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,3330fea9-e10f-4963-bf1b-8090e0a6e4a1,Anton Watson,F
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,372c3587-31c2-4a98-ab75-bec1c2a90e6e,Erik Timko,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,46c67c77-f522-4be0-882f-ef5acdc60776,Luke Goode,F
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,6098aa53-0dd5-4b8d-a67e-7ff785c1ecbc,Kylor Kelley,C
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,738e9b6d-8d4f-4198-b906-d4f5a59cae14,James Reese,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,7c42b21f-1179-42c8-bba9-15f800d5d7b3,Christian Koloko,C
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,811813a7-f3cb-4055-b682-9636f2818176,Arthur Kaluma,F
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,8d7a420f-b7f2-4a43-adab-de9bd1681a2c,Jarron Cumberland,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,9addd555-9865-41e6-9f63-e03cb78c98f6,Jace Carter,G-F
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,bc293962-9c60-44d5-ba68-76ebfb37a07f,Drew Timme,F
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,e891cdde-5be0-4f5e-9132-59f5431b07b7,Chris Mañon,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,ef264884-3312-4c1e-aa6a-f05653dfa76b,Tevian Jones,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,ef599d54-6508-4cb4-b796-dfc9d689e65e,Joirdon Nicholas,F
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,f3efa42e-5d7b-438e-898a-441a1cb950f1,Braxton Meah,C
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,f42771be-961c-4401-8048-7ca4611bd5b7,Selton Miguel,G
0a3d428b-572a-4a94-b716-8c1297c53d8e,South Bay Lakers,f972baf8-f857-40aa-956a-7b63aee9c8ce,Cheikh Mbacke Diong,F
0f009580-dda8-4080-aa43-5d58a17028f6,Austin Spurs,052a06be-1070-461b-9f5a-9eea0196390f,Pierre Crockrell II,G
0f009580-dda8-4080-aa43-5d58a17028f6,Austin Spurs,34bd9c5c-105b-4648-b609-c3c715f793c0,Justice Smith,G-F
0f009580-dda8-4080-aa43-5d58a17028f6,Austin Spurs,37c3c684-d63d-4c00-bcee-0351e210d5a4,James Banks III,C
0f009580-dda8-4080-aa43-5d58a17028f6,Austin Spurs,44854b18-55ab-464a-bf18-ca601b8bca8d,Riley Minix,F
0f009580-dda8-4080-aa43-5d58a17028f6,Austin Spurs,476af880-e05b-4d97-9c8b-c46f863bf505,Stanley Umude,G
