season_id,season_type,team_id,player_id,full_name,position,total_games_played,total_games_started,total_minutes,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_flagrant_fouls,total_ejections,total_foulouts,total_tech_fouls_non_unsportsmanlike,total_true_shooting_att,total_true_shooting_pct,total_efficiency,total_field_goals_at_rim_made,total_field_goals_at_rim_att,total_field_goals_at_rim_pct,total_field_goals_at_midrange_made,total_field_goals_at_midrange_att,total_field_goals_at_midrange_pct,total_usage_pct,avg_minutes,avg_points,avg_off_rebounds,avg_def_rebounds,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_personal_fouls,avg_flagrant_fouls,avg_blocked_att,avg_field_goals_made,avg_field_goals_att,avg_three_points_made,avg_three_points_att,avg_free_throws_made,avg_free_throws_att,avg_two_points_made,avg_two_points_att,avg_efficiency,avg_true_shooting_att,games_played,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,tpm,tpa,ftm,fta
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,0db710f8-1f37-4a6f-9de9-3e2f7cbb5bb2,Scotty Hopson,G-F,6,6,187.0,42,71,0.592,25,35,0.714,17,36,0.472,0,7,11,0.636,2,16,18,21,26,0.81,3,1,19,0,110,0,0,1,0,75.84,0.725,94,14,19,0.737,3,6,0.5,23.22,31.2,18.3,0.33,2.67,3.0,3.5,0.5,0.17,4.33,3.17,0.0,0.0,7.0,11.83,2.83,6.0,1.17,1.83,4.17,5.83,15.67,12.64,6,187.0,110,21,18,3,1,26,42,71,17,36,7,11
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,1560c6b3-a4ac-4af4-b41c-edd9d59e7b07,Devon Hall,G,30,30,938.0,160,354,0.452,89,157,0.567,71,197,0.36,13,49,57,0.86,28,141,169,137,65,2.11,22,10,68,0,469,0,0,0,0,379.08,0.619,540,50,72,0.694,1,8,0.125,20.18,31.3,15.6,0.93,4.7,5.63,4.6,0.73,0.33,2.17,2.27,0.0,0.43,5.33,11.8,2.37,6.57,1.63,1.9,2.97,5.23,18.0,12.64,30,938.0,469,137,169,22,10,65,160,354,71,197,49,57
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,1e2ef955-0937-4a06-8741-8b15aa0f4eed,Justin Patton,C,23,22,638.0,122,222,0.55,110,185,0.595,12,37,0.324,6,15,29,0.517,53,137,190,81,68,1.19,13,64,80,1,279,0,0,3,1,234.76,0.594,445,82,104,0.788,8,27,0.296,20.23,27.7,12.1,2.3,5.96,8.26,3.5,0.57,2.78,2.96,3.48,0.0,0.26,5.3,9.65,0.52,1.61,0.65,1.26,4.78,8.04,19.35,10.21,23,638.0,279,81,190,13,64,68,122,222,12,37,15,29
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,1e3ec50a-a295-48b1-8bdc-93a2a7b828b0,Kadeem Jack,C,32,10,702.0,158,264,0.598,147,226,0.65,11,38,0.289,13,50,69,0.725,92,170,262,34,57,0.6,18,27,64,0,414,0,0,0,0,294.36,0.703,573,104,133,0.782,2,10,0.2,21.34,21.9,12.9,2.88,5.31,8.19,1.1,0.56,0.84,1.78,2.0,0.0,0.41,4.94,8.25,0.34,1.19,1.56,2.16,4.59,7.06,17.91,9.2,32,702.0,414,34,262,18,27,57,158,264,11,38,50,69
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,1f2046cf-abd0-4d80-b247-919ff9f41441,Jay Wright,G,1,0,11.0,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0,0.0,0,1,1,1,0,0.0,0,0,1,0,0,0,0,0,0,2.0,0.0,0,0,0,0.0,0,1,0.0,7.75,11.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1,11.0,0,1,1,0,0,0,0,2,0,1,0,0
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,24c92a10-d49b-4cc4-8087-2d7f0a7164f6,Robert Heyer,G,1,0,17.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,1,1.0,0,0,2,0,0,0,0,0,0,1.0,0.0,-1,0,0,0.0,0,0,0.0,5.02,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1,17.0,0,1,0,0,0,1,0,1,0,1,0,0
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,2b69c900-26d4-4c38-ae90-57c4558a66fe,Gabe Vincent,G,29,13,751.0,115,240,0.479,48,76,0.632,67,164,0.409,5,17,24,0.708,22,135,157,51,26,1.96,16,8,37,1,320,0,0,0,0,250.56,0.639,394,25,38,0.658,4,7,0.571,15.7,25.9,11.0,0.76,4.66,5.41,1.8,0.55,0.28,0.9,1.28,0.0,0.17,3.97,8.28,2.31,5.66,0.59,0.83,1.66,2.62,13.59,8.64,29,751.0,320,51,157,16,8,26,115,240,67,164,17,24
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,2e662d5c-8a12-4585-b74b-2e661332a1e2,Courtney Alexander II,F,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,69b2d1bf-f945-4457-a9a5-6a15e6017f37,LiAngelo Ball,F,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2019,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,763d99ac-be69-47d3-bf1c-6265f8c01a3d,Isaiah Roby,F,8,0,155.0,21,42,0.5,16,31,0.516,5,11,0.455,5,4,10,0.4,12,29,41,10,13,0.77,11,13,16,0,55,0,0,0,0,46.4,0.593,90,10,16,0.625,0,2,0.0,16.34,19.4,6.9,1.5,3.63,5.13,1.3,1.38,1.63,1.63,2.0,0.0,0.63,2.63,5.25,0.63,1.38,0.5,1.25,2.0,3.88,11.25,5.8,8,155.0,55,10,41,11,13,13,21,42,5,11,4,10
