season_id,season_type,team_id,player_id,full_name,position,total_games_played,total_games_started,total_minutes,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_flagrant_fouls,total_ejections,total_foulouts,total_tech_fouls_non_unsportsmanlike,total_true_shooting_att,total_true_shooting_pct,total_efficiency,total_field_goals_at_rim_made,total_field_goals_at_rim_att,total_field_goals_at_rim_pct,total_field_goals_at_midrange_made,total_field_goals_at_midrange_att,total_field_goals_at_midrange_pct,total_usage_pct,avg_minutes,avg_points,avg_off_rebounds,avg_def_rebounds,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_personal_fouls,avg_flagrant_fouls,avg_blocked_att,avg_field_goals_made,avg_field_goals_att,avg_three_points_made,avg_three_points_att,avg_free_throws_made,avg_free_throws_att,avg_two_points_made,avg_two_points_att,avg_efficiency,avg_true_shooting_att,games_played,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,tpm,tpa,ftm,fta
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,065837e4-5bae-427c-a15d-5a9ffea2bbb2,Justin Jaworski,G,27,1,560.0,86,212,0.406,31,67,0.463,55,145,0.379,8,21,22,0.955,9,71,80,42,24,1.75,18,3,37,0,265,0,0,0,0.0,221.68,0.598,257,13,16,0.813,5,23,0.217,19.01,20.7,9.8,0.33,2.63,2.96,1.6,0.67,0.11,0.89,1.37,0.0,0.3,3.19,7.85,2.04,5.37,0.78,0.81,1.15,2.48,9.52,8.21,27,560.0,265,42,80,18,3,24,86,212,55,145,21,22
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,0db710f8-1f37-4a6f-9de9-3e2f7cbb5bb2,Scotty Hopson,G-F,32,23,889.0,172,361,0.476,142,272,0.522,30,89,0.337,24,37,54,0.685,40,121,161,113,70,1.61,33,13,59,3,433,0,0,0,0.0,384.76,0.563,477,50,68,0.735,26,68,0.382,22.16,27.8,13.5,1.25,3.78,5.03,3.5,1.03,0.41,2.19,1.84,0.0,0.75,5.38,11.28,0.94,2.78,1.16,1.69,4.44,8.5,14.91,12.02,32,889.0,433,113,161,33,13,70,172,361,30,89,37,54
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,1853063c-4afc-438f-b9ba-34651775c8dc,Jeremiah Robinson-Earl,F,1,1,32.0,9,15,0.6,5,7,0.714,4,8,0.5,1,2,3,0.667,1,7,8,2,2,1.0,0,1,3,0,25,0,0,0,0.0,16.32,0.766,27,1,1,1.0,2,2,1.0,24.81,32.0,25.0,1.0,7.0,8.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,9.0,15.0,4.0,8.0,2.0,3.0,5.0,7.0,27.0,16.32,1,32.0,25,2,8,0,1,2,9,15,4,8,2,3
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,1a39033e-647a-4c69-9e05-2b6c728e0598,Paul Watson,G,9,3,233.0,29,73,0.397,16,30,0.533,13,43,0.302,6,8,12,0.667,5,34,39,19,20,0.95,6,5,17,0,85,0,0,0,0.0,78.28,0.543,86,8,14,0.571,0,1,0.0,18.28,25.9,9.4,0.56,3.78,4.33,2.1,0.67,0.56,2.22,1.89,0.0,0.67,3.22,8.11,1.44,4.78,0.89,1.33,1.78,3.33,9.56,8.7,9,233.0,85,19,39,6,5,20,29,73,13,43,8,12
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,246cb48b-8a65-4195-8d11-6558ef8109a4,Theo Maledon,G,6,6,187.0,44,80,0.55,34,54,0.63,10,26,0.385,7,28,37,0.757,3,27,30,36,17,2.12,8,1,12,0,140,0,0,0,0.0,96.28,0.727,153,12,16,0.75,1,2,0.5,26.25,31.2,23.3,0.5,4.5,5.0,6.0,1.33,0.17,2.83,2.0,0.0,1.17,7.33,13.33,1.67,4.33,4.67,6.17,5.67,9.0,25.5,16.05,6,187.0,140,36,30,8,1,17,44,80,10,26,28,37
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,25556881-5c14-453e-b02d-bfb28073fb8d,Jaylen Hoard,F,25,15,622.0,108,203,0.532,107,194,0.552,1,9,0.111,27,34,61,0.557,58,113,171,53,22,2.41,21,15,64,0,274,0,0,1,0.0,229.84,0.596,390,57,84,0.679,0,2,0.0,17.54,24.9,11.0,2.32,4.52,6.84,2.1,0.84,0.6,0.88,2.56,0.0,1.08,4.32,8.12,0.04,0.36,1.36,2.44,4.28,7.76,15.6,9.19,25,622.0,274,53,171,21,15,22,108,203,1,9,34,61
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,27bceee6-2992-4803-9bbd-e6d17ff7466c,Jahmi'us Ramsey,G,11,0,304.0,69,162,0.426,45,97,0.464,24,65,0.369,14,18,23,0.783,9,49,58,31,14,2.21,11,2,21,0,195,0,0,0,0.0,172.12,0.566,185,20,24,0.833,2,8,0.25,26.53,27.6,17.7,0.82,4.45,5.27,2.8,1.0,0.18,1.27,1.91,0.0,1.27,6.27,14.73,2.18,5.91,1.64,2.09,4.09,8.82,16.82,15.65,11,304.0,195,31,58,11,2,14,69,162,24,65,18,23
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,2fa270e5-91ac-45a9-980c-c68c5a739ec9,Lindy Waters III,F,16,14,421.0,58,113,0.513,16,26,0.615,42,87,0.483,1,18,19,0.947,13,54,67,30,4,7.5,29,5,21,0,183,0,0,0,0.0,121.36,0.754,254,9,14,0.643,1,2,0.5,12.9,26.3,11.4,0.81,3.38,4.19,1.9,1.81,0.31,0.25,1.31,0.0,0.06,3.63,7.06,2.63,5.44,1.13,1.19,1.0,1.63,15.88,7.59,16,421.0,183,30,67,29,5,4,58,113,42,87,18,19
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,3df4d822-46c5-44ee-a95f-98506ca16665,Talib Zanna,F,3,1,33.0,3,6,0.5,3,6,0.5,0,0,0.0,1,1,1,1.0,0,4,4,2,2,1.0,0,0,10,0,8,0,0,1,0.0,6.44,0.621,9,0,0,0.0,0,1,0.0,11.08,11.0,2.7,0.0,1.33,1.33,0.7,0.0,0.0,0.67,3.33,0.0,0.33,1.0,2.0,0.0,0.0,0.33,0.33,1.0,2.0,3.0,2.15,3,33.0,8,2,4,0,0,2,3,6,0,0,1,1
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,46cda329-4643-4134-8bf3-c2be9eda26d2,Zavier Simpson,G,35,29,1133.0,208,431,0.483,172,329,0.523,36,102,0.353,36,35,51,0.686,29,149,178,236,97,2.43,52,22,94,3,508,1,0,2,0.0,453.44,0.56,660,62,100,0.62,7,17,0.412,21.05,32.4,14.5,0.83,4.26,5.09,6.7,1.49,0.63,2.77,2.69,0.03,1.03,5.94,12.31,1.03,2.91,1.0,1.46,4.91,9.4,18.86,12.96,35,1133.0,508,236,178,52,22,97,208,431,36,102,35,51
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,46fdedca-bd0b-447d-af1d-06f016491d40,Melvin Frazier Jr.,G-F,18,15,541.0,89,177,0.503,62,105,0.59,27,72,0.375,8,18,27,0.667,14,54,68,38,39,0.97,24,10,43,0,235,0,0,0,0.0,188.88,0.622,239,30,44,0.682,1,3,0.333,18.25,30.1,13.1,0.78,3.0,3.78,2.1,1.33,0.56,2.17,2.39,0.0,0.44,4.94,9.83,1.5,4.0,1.0,1.5,3.44,5.83,13.28,10.49,18,541.0,235,38,68,24,10,39,89,177,27,72,18,27
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,541e4d69-ddbf-45fc-bb85-6cf451a36669,Aleksej Pokusevski,C,11,10,277.0,33,91,0.363,27,55,0.491,6,36,0.167,3,4,5,0.8,15,50,65,46,42,1.1,17,16,13,0,79,0,0,0,0.0,93.2,0.424,122,9,16,0.563,0,10,0.0,21.15,25.2,7.2,1.36,4.55,5.91,4.2,1.55,1.45,3.82,1.18,0.0,0.27,3.0,8.27,0.55,3.27,0.36,0.45,2.45,5.0,11.09,8.47,11,277.0,79,46,65,17,16,42,33,91,6,36,4,5
2021,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,558b008b-e5ef-409b-a609-04b1acbd0e82,Georgios Kalaitzakis,F,31,2,610.0,98,232,0.422,79,153,0.516,19,79,0.241,11,57,76,0.75,31,88,119,66,66,1.0,27,8,59,1,312,0,0,0,0.0,265.44,0.588,313,35,52,0.673,4,16,0.25,23.54,19.7,10.1,1.0,2.84,3.84,2.1,0.87,0.26,2.13,1.9,0.0,0.35,3.16,7.48,0.61,2.55,1.84,2.45,2.55,4.94,10.1,8.56,31,610.0,312,66,119,27,8,66,98,232,19,79,57,76
