season_id,season_type,team_id,player_id,full_name,position,total_games_played,total_games_started,total_minutes,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_flagrant_fouls,total_ejections,total_foulouts,total_tech_fouls_non_unsportsmanlike,total_true_shooting_att,total_true_shooting_pct,total_efficiency,total_field_goals_at_rim_made,total_field_goals_at_rim_att,total_field_goals_at_rim_pct,total_field_goals_at_midrange_made,total_field_goals_at_midrange_att,total_field_goals_at_midrange_pct,total_usage_pct,avg_minutes,avg_points,avg_off_rebounds,avg_def_rebounds,avg_rebounds,avg_assists,avg_steals,avg_blocks,avg_turnovers,avg_personal_fouls,avg_flagrant_fouls,avg_blocked_att,avg_field_goals_made,avg_field_goals_att,avg_three_points_made,avg_three_points_att,avg_free_throws_made,avg_free_throws_att,avg_two_points_made,avg_two_points_att,avg_efficiency,avg_true_shooting_att,games_played,minutes,points,assists,rebounds,steals,blocks,turnovers,fgm,fga,tpm,tpa,ftm,fta
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,c78cc210-5cac-4b70-aaa4-d3e82cd8fbba,Jamison Battle,F,13,13,377.0,60,112,0.536,27,50,0.54,33,62,0.532,7,5,7,0.714,5,49,54,20,14,1.43,5,4,25,0,160,0,0,0,0,115.08,0.695,175,13,19,0.684,6,13,0.462,14.81,29.0,12.3,0.38,3.77,4.15,1.5,0.38,0.31,1.08,1.92,0.0,0.54,4.62,8.62,2.54,4.77,0.38,0.54,2.08,3.85,13.46,8.85,13,377.0,160,20,54,5,4,14,60,112,33,62,5,7
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,c9b319df-6ae5-4863-8cc9-81ed3efbd35e,Colin Castleton,C,1,1,43.0,12,18,0.667,11,17,0.647,1,1,1.0,1,1,2,0.5,2,4,6,4,2,2.0,1,2,1,0,27,0,0,0,0,18.88,0.715,31,4,5,0.8,0,0,0.0,21.0,43.0,27.0,2.0,4.0,6.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,12.0,18.0,1.0,1.0,1.0,2.0,11.0,17.0,31.0,18.88,1,43.0,27,4,6,1,2,2,12,18,1,1,1,2
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,d587ab4f-e710-433b-8b5b-374e1429925d,Eugene Omoruyi,F,27,16,742.0,173,360,0.481,136,251,0.542,37,109,0.339,38,50,75,0.667,61,84,145,102,88,1.16,27,12,71,2,476,1,0,0,0,393.0,0.606,462,116,171,0.678,4,7,0.571,28.04,27.5,17.6,2.26,3.11,5.37,3.8,1.0,0.44,3.26,2.63,0.04,1.41,6.41,13.33,1.37,4.04,1.85,2.78,5.04,9.3,17.11,14.56,27,742.0,476,102,145,27,12,88,173,360,37,109,50,75
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,dcda2e30-b0f9-49ad-89f4-abcc315eed6e,Jonathan Mogbo,F,12,12,365.0,51,98,0.52,43,78,0.551,8,20,0.4,8,24,31,0.774,21,73,94,50,25,2.0,16,13,24,0,149,0,0,0,0,111.64,0.667,243,33,47,0.702,2,4,0.5,16.19,30.4,12.4,1.75,6.08,7.83,4.2,1.33,1.08,2.08,2.0,0.0,0.67,4.25,8.17,0.67,1.67,2.0,2.58,3.58,6.5,20.25,9.3,12,365.0,149,50,94,16,13,25,51,98,8,20,24,31
2024,REG,2d0a4879-33d3-4af9-a12f-8081362ff548,eb3c05aa-024d-4531-81fe-cb7014d242b2,D.J. Jeffries,F,6,1,77.0,4,11,0.364,1,6,0.167,3,5,0.6,2,0,0,0.0,2,13,15,2,5,0.4,6,5,12,0,11,0,0,0,0,11.0,0.5,27,1,3,0.333,0,1,0.0,8.99,12.8,1.8,0.33,2.17,2.5,0.3,1.0,0.83,0.83,2.0,0.0,0.33,0.67,1.83,0.5,0.83,0.0,0.0,0.17,1.0,4.5,1.83,6,77.0,11,2,15,6,5,5,4,11,3,5,0,0
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,035e9053-992c-47ad-b20f-e8b739603b0c,Dillon Jones,F,18,18,568.0,92,210,0.438,73,141,0.518,19,69,0.275,12,27,42,0.643,15,109,124,87,51,1.71,14,5,28,0,240,0,0,0,0,228.48,0.525,286,45,74,0.608,10,25,0.4,21.3,31.6,13.3,0.83,6.06,6.89,4.8,0.78,0.28,2.83,1.56,0.0,0.67,5.11,11.67,1.06,3.83,1.5,2.33,4.06,7.83,15.89,12.69,18,568.0,240,87,124,14,5,51,92,210,19,69,27,42
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,05c29e09-e34f-46d4-9af1-1794eaf707f6,Ousmane Dieng,F,7,7,231.0,48,104,0.462,33,64,0.516,15,40,0.375,8,20,25,0.8,10,28,38,41,28,1.46,3,9,15,0,143,0,0,0,0,115.0,0.622,145,13,27,0.481,4,10,0.4,26.8,33.0,20.4,1.43,4.0,5.43,5.9,0.43,1.29,4.0,2.14,0.0,1.14,6.86,14.86,2.14,5.71,2.86,3.57,4.71,9.14,20.71,16.43,7,231.0,143,41,38,3,9,28,48,104,15,40,20,25
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,0b1d2500-23ab-40e5-93a5-979907a3e793,Steven Richardson,F,2,0,18.0,4,7,0.571,1,1,1.0,3,6,0.5,0,0,1,0.0,0,3,3,1,2,0.5,1,0,1,0,11,0,0,0,0,7.44,0.739,10,0,0,0.0,0,0,0.0,22.71,9.0,5.5,0.0,1.5,1.5,0.5,0.5,0.0,1.0,0.5,0.0,0.0,2.0,3.5,1.5,3.0,0.0,0.5,0.5,0.5,5.0,3.72,2,18.0,11,1,3,1,0,2,4,7,3,6,0,1
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,246cdddd-7e9b-4cf0-a186-55866acf4bfe,Ajay Mitchell,G,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2024,REG,035ebd2d-69d9-4d73-a4b3-519f78071975,27bceee6-2992-4803-9bbd-e6d17ff7466c,Jahmi'us Ramsey,G,25,1,710.0,187,372,0.503,131,220,0.595,56,152,0.368,18,44,67,0.657,14,103,117,74,58,1.28,34,4,25,0,504,0,0,0,0,401.48,0.628,467,89,128,0.695,8,20,0.4,28.02,28.4,20.2,0.56,4.12,4.68,3.0,1.36,0.16,2.32,1.0,0.0,0.72,7.48,14.88,2.24,6.08,1.76,2.68,5.24,8.8,18.68,16.06,25,710.0,504,74,117,34,4,58,187,372,56,152,44,67
